sample-id,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Year,Marker,Platform,Sample_target
LB01,19925,15192,76.25,15191,15190,76.24,15183,76.2,22,COI,NS,blank
LB02,20479,18723,91.43,18721,18696,91.29,18696,91.29,22,COI,NS,blank
M01S1,925920,807293,87.19,799076,779577,84.19,742762,80.22,22,COI,NS,surface
M01S2,1093342,1003632,91.79,996361,977360,89.39,936460,85.65,22,COI,NS,surface
M01S3,872870,701385,80.35,690137,669583,76.71,641380,73.48,22,COI,NS,surface
M02S1,1164284,1071642,92.04,1063958,1041551,89.46,984411,84.55,22,COI,NS,surface
M04S1,899354,825741,91.81,818779,794640,88.36,738834,82.15,22,COI,NS,surface
M04S2,852583,762999,89.49,754855,734665,86.17,692884,81.27,22,COI,NS,surface
M04S3,1077200,982636,91.22,974655,949746,88.17,892008,82.81,22,COI,NS,surface
M06S2,1004892,905669,90.13,896886,867672,86.34,806427,80.25,22,COI,NS,surface
M06S3,1127825,1042486,92.43,1033205,1006444,89.24,942852,83.6,22,COI,NS,surface
M07S1,1059751,966885,91.24,958494,936161,88.34,891795,84.15,22,COI,NS,surface
M07S2,932832,852077,91.34,843487,823054,88.23,786066,84.27,22,COI,NS,surface
M08B1,1061501,969831,91.36,966491,951055,89.6,889696,83.81,22,COI,NS,bottom
M08S2,901163,827473,91.82,819454,792186,87.91,721689,80.08,22,COI,NS,surface
M08S3,917287,847421,92.38,840353,814729,88.82,744984,81.22,22,COI,NS,surface
M11S1,904448,828729,91.63,821156,795895,88.0,730088,80.72,22,COI,NS,surface
M11S2,926669,841161,90.77,831353,806789,87.06,761579,82.18,22,COI,NS,surface
M11S3,969764,880400,90.78,870494,846504,87.29,799170,82.41,22,COI,NS,surface
M15S1,1126082,1026127,91.12,1018117,988594,87.79,911978,80.99,22,COI,NS,surface
M15S2,1018901,925223,90.81,915221,887243,87.08,826755,81.14,22,COI,NS,surface
M15S3,958546,884770,92.3,876580,846684,88.33,771735,80.51,22,COI,NS,surface
M16S2,801487,735356,91.75,728515,700361,87.38,626897,78.22,22,COI,NS,surface
M16S3,1092219,1004189,91.94,996810,965402,88.39,880085,80.58,22,COI,NS,surface
M19S1,1004032,909035,90.54,899716,871542,86.8,802429,79.92,22,COI,NS,surface
M19S2,965221,875668,90.72,865668,838240,86.84,776512,80.45,22,COI,NS,surface
M19S3,792050,644440,81.36,634698,611238,77.17,563461,71.14,22,COI,NS,surface
M20B1,1107621,1010836,91.26,1004242,978659,88.36,907089,81.9,22,COI,NS,bottom
M20B2,1069812,939381,87.81,929395,895047,83.66,812106,75.91,22,COI,NS,bottom
M20B3,846558,774370,91.47,766072,734949,86.82,657827,77.71,22,COI,NS,bottom
M22S1,969283,891524,91.98,883174,851591,87.86,771526,79.6,22,COI,NS,surface
M22S2,989226,896261,90.6,887126,854896,86.42,775088,78.35,22,COI,NS,surface
M22S3,836945,528959,63.2,518109,493619,58.98,453218,54.15,22,COI,NS,surface
M24S1,927408,803856,86.68,797234,769619,82.99,702098,75.71,22,COI,NS,surface
M24S2,915467,740790,80.92,733713,709919,77.55,660890,72.19,22,COI,NS,surface
M24S3,1128823,1027409,91.02,1018697,990450,87.74,924089,81.86,22,COI,NS,surface
M26S1,1003410,897554,89.45,889791,859912,85.7,788394,78.57,22,COI,NS,surface
M26S2,974567,867004,88.96,859154,830063,85.17,759162,77.9,22,COI,NS,surface
M28S1,984839,889545,90.32,882339,853533,86.67,781999,79.4,22,COI,NS,surface
M28S2,541449,486381,89.83,479871,461389,85.21,424207,78.35,22,COI,NS,surface
M28S3,986118,901895,91.46,895873,877278,88.96,830242,84.19,22,COI,NS,surface
M30B1,1190529,994763,83.56,985224,956479,80.34,894575,75.14,22,COI,NS,bottom
M30B2,957992,851921,88.93,842101,814270,85.0,754539,78.76,22,COI,NS,bottom
M30B3,955678,869263,90.96,861280,831897,87.05,760113,79.54,22,COI,NS,bottom
M30S1,707999,355921,50.27,347696,329101,46.48,306905,43.35,22,COI,NS,surface
M30S2,773581,702926,90.87,697703,679965,87.9,638981,82.6,22,COI,NS,surface
M32B1,588386,282082,47.94,275417,259579,44.12,239624,40.73,22,COI,NS,bottom
M32B2,864185,766499,88.7,760106,728444,84.29,647030,74.87,22,COI,NS,bottom
M32B3,965935,845623,87.54,838761,810915,83.95,746492,77.28,22,COI,NS,bottom
M32S2,894049,817310,91.42,810467,781039,87.36,703546,78.69,22,COI,NS,surface
M32S3,1167847,1071380,91.74,1063436,1029000,88.11,943194,80.76,22,COI,NS,surface
PCR_blank_001,325,35,10.77,31,31,9.54,31,9.54,22,COI,NS,blank
PCR_blank_002,6083,4,0.07,3,0,0.0,0,0.0,22,COI,NS,blank
2A01S1,11318,10816,95.56,10536,959,8.47,959,8.47,22,mifish,NS,surface
2A01S2,1919110,1878328,97.87,1877563,1758138,91.61,1743705,90.86,22,mifish,NS,surface
2A01S3,18993,18353,96.63,18073,638,3.36,638,3.36,22,mifish,NS,surface
2A10S3,12504,12143,97.11,11983,517,4.13,517,4.13,22,mifish,NS,surface
2A12B1,5732,5009,87.39,4837,126,2.2,126,2.2,22,mifish,NS,bottom
2A12B2,8420,7895,93.76,7716,1326,15.75,1326,15.75,22,mifish,NS,bottom
2A12B3,26088,25480,97.67,25248,4312,16.53,4240,16.25,22,mifish,NS,bottom
2A12S1,20810,20139,96.78,19833,612,2.94,612,2.94,22,mifish,NS,surface
2A12S2,44993,43664,97.05,43434,25509,56.7,23878,53.07,22,mifish,NS,surface
2A12S3,3613403,3520424,97.43,3519754,3348546,92.67,3311289,91.64,22,mifish,NS,surface
2B01S1,19965,17215,86.23,16972,1049,5.25,1049,5.25,22,mifish,NS,surface
2B01S2,68388,65643,95.99,58278,35231,51.52,35127,51.36,22,mifish,NS,surface
2B02S1,12427787,12154089,97.8,12143611,11544979,92.9,11456031,92.18,22,mifish,NS,surface
2B02S2,3826320,3735935,97.64,3733729,3540898,92.54,3499631,91.46,22,mifish,NS,surface
2B03B1,3662150,3579157,97.73,3576316,3419717,93.38,3409139,93.09,22,mifish,NS,bottom
2B03B2,2359309,2293406,97.21,2271849,2120935,89.9,2086540,88.44,22,mifish,NS,bottom
2B03B3,18068,17611,97.47,17365,1979,10.95,1979,10.95,22,mifish,NS,bottom
2B03S1,1874512,1824616,97.34,1824140,1666152,88.88,1661277,88.62,22,mifish,NS,surface
2B03S2,1188043,1156341,97.33,1155275,1107542,93.22,1103269,92.86,22,mifish,NS,surface
2B03S3,10768,10243,95.12,10110,678,6.3,678,6.3,22,mifish,NS,surface
301B1,3549196,3460596,97.5,3458762,3261936,91.91,3224864,90.86,22,mifish,NS,bottom
301B2,17879,17392,97.28,17178,1063,5.95,1063,5.95,22,mifish,NS,bottom
301B3,27301,26517,97.13,26309,1154,4.23,1154,4.23,22,mifish,NS,bottom
301S1,34945,33774,96.65,33505,14572,41.7,14445,41.34,22,mifish,NS,surface
301S2,2521609,2458390,97.49,2452253,2291607,90.88,2282617,90.52,22,mifish,NS,surface
301S3,9866,9431,95.59,9238,1512,15.33,1512,15.33,22,mifish,NS,surface
302S1,4373471,4270078,97.64,4248533,4078915,93.26,4054116,92.7,22,mifish,NS,surface
302S2,919,655,71.27,597,7,0.76,7,0.76,22,mifish,NS,surface
302S3,20177,19655,97.41,19489,629,3.12,629,3.12,22,mifish,NS,surface
303S1,23487,22783,97.0,22526,1113,4.74,1113,4.74,22,mifish,NS,surface
303S2,100506,98399,97.9,98065,93801,93.33,93433,92.96,22,mifish,NS,surface
303S3,4531,2154,47.54,2060,1210,26.7,1210,26.7,22,mifish,NS,surface
B0912,98,1,1.02,1,0,0.0,0,0.0,22,mifish,NS,blank
B0913,101,11,10.89,10,0,0.0,0,0.0,22,mifish,NS,blank
Extraction_blank_001,1,0,0.0,0,0,0.0,0,0.0,22,mifish,NS,blank
Extraction_blank_002,52,3,5.77,1,1,1.92,1,1.92,22,mifish,NS,blank
Extraction_blank_003,11,0,0.0,0,0,0.0,0,0.0,22,mifish,NS,blank
LB01,68,0,0.0,0,0,0.0,0,0.0,22,mifish,NS,blank
LB02,14,6,42.86,6,0,0.0,0,0.0,22,mifish,NS,blank
M01S1,1592253,1541421,96.81,1539390,1384654,86.96,1352580,84.95,22,mifish,NS,surface
M01S2,1965833,1915552,97.44,1912907,1779219,90.51,1766954,89.88,22,mifish,NS,surface
M01S3,1137515,1087025,95.56,1085201,859179,75.53,852840,74.97,22,mifish,NS,surface
M02S1,3298605,3228456,97.87,3225207,3003198,91.04,2960873,89.76,22,mifish,NS,surface
M04S1,913832,892681,97.69,892129,842295,92.17,834522,91.32,22,mifish,NS,surface
M04S2,2841361,2771192,97.53,2770459,2568419,90.39,2510168,88.34,22,mifish,NS,surface
M04S3,1766656,1717534,97.22,1716570,1606520,90.94,1601156,90.63,22,mifish,NS,surface
M06S2,89023,86196,96.82,85385,61880,69.51,61617,69.21,22,mifish,NS,surface
M06S3,1829328,1788513,97.77,1785912,1680324,91.85,1671208,91.36,22,mifish,NS,surface
M07S1,2119033,2065891,97.49,2062735,1924123,90.8,1917405,90.48,22,mifish,NS,surface
M07S2,1475518,1436483,97.35,1435842,1304355,88.4,1300805,88.16,22,mifish,NS,surface
M08B1,1560468,1520210,97.42,1519710,1422203,91.14,1418640,90.91,22,mifish,NS,bottom
M08S2,2586899,2525949,97.64,2521870,2369831,91.61,2325106,89.88,22,mifish,NS,surface
M08S3,2889318,2821232,97.64,2818288,2632129,91.1,2610231,90.34,22,mifish,NS,surface
M11S1,2227667,2172139,97.51,2169737,2047447,91.91,2036408,91.41,22,mifish,NS,surface
M11S2,2345770,2282816,97.32,2280493,2114379,90.14,2097501,89.42,22,mifish,NS,surface
M11S3,2736569,2666996,97.46,2660869,2469274,90.23,2457069,89.79,22,mifish,NS,surface
M15S1,2192873,2138114,97.5,2135130,2046926,93.34,2043590,93.19,22,mifish,NS,surface
M15S2,2554026,2482410,97.2,2480616,2310096,90.45,2306003,90.29,22,mifish,NS,surface
M15S3,3484733,3400757,97.59,3397142,3107379,89.17,3081127,88.42,22,mifish,NS,surface
M16S2,5325,5050,94.84,4822,426,8.0,426,8.0,22,mifish,NS,surface
M16S3,2126695,2071551,97.41,2070908,1945758,91.49,1933746,90.93,22,mifish,NS,surface
M19S1,1444104,1405518,97.33,1403432,1314026,90.99,1307886,90.57,22,mifish,NS,surface
M19S2,921007,898698,97.58,897744,819852,89.02,813880,88.37,22,mifish,NS,surface
M19S3,3460148,3322745,96.03,3316687,2713572,78.42,2681748,77.5,22,mifish,NS,surface
M20B1,408962,398534,97.45,398341,379383,92.77,378995,92.67,22,mifish,NS,bottom
M20B2,3128764,3044995,97.32,3039574,2808361,89.76,2760022,88.21,22,mifish,NS,bottom
M20B3,2529426,2474660,97.83,2474201,2356096,93.15,2336062,92.36,22,mifish,NS,bottom
M22S1,1234800,1204095,97.51,1203051,1133851,91.82,1129319,91.46,22,mifish,NS,surface
M22S2,1279657,1249609,97.65,1247071,1185136,92.61,1175929,91.89,22,mifish,NS,surface
M22S3,19614,18692,95.3,18068,356,1.82,356,1.82,22,mifish,NS,surface
M24S1,51630,50026,96.89,49650,26391,51.12,26252,50.85,22,mifish,NS,surface
M24S2,3628194,3521209,97.05,3519538,3204486,88.32,3159989,87.1,22,mifish,NS,surface
M24S3,20038,19422,96.93,19105,395,1.97,395,1.97,22,mifish,NS,surface
M26S1,49872,48328,96.9,48041,31713,63.59,31423,63.01,22,mifish,NS,surface
M26S2,2357418,2292852,97.26,2292054,2163101,91.76,2128206,90.28,22,mifish,NS,surface
