"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2A vs Zone_2B",1.497,0.143,0.191,1,"2022"
"Zone_2A vs Zone_3",0.347,0.031,0.898,1,"2022"
"Zone_2A vs Zone_1",14.061,0.468,0.002,0.012,"2022"
"Zone_2B vs Zone_3",0.914,0.132,0.397,1,"2022"
"Zone_2B vs Zone_1",5.766,0.344,0.035,0.21,"2022"
"Zone_3 vs Zone_1",9.134,0.413,0.006,0.036,"2022"
"Zone_2B vs Zone_3",0.557,0.085,0.744,1,"2023"
"Zone_2B vs Zone_2A",1.609,0.152,0.219,1,"2023"
"Zone_2B vs Zone_1",5.387,0.329,0.01,0.06,"2023"
"Zone_3 vs Zone_2A",1.653,0.131,0.197,1,"2023"
"Zone_3 vs Zone_1",8.296,0.39,0.001,0.006,"2023"
"Zone_2A vs Zone_1",7.414,0.317,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",5.378,0.252,0.003,0.018,"2024"
"Zone_1 vs Zone_3",4.741,0.283,0.019,0.114,"2024"
"Zone_1 vs Zone_2B",3.876,0.261,0.032,0.192,"2024"
"Zone_2A vs Zone_3",1.92,0.161,0.154,0.924,"2024"
"Zone_2A vs Zone_2B",1.163,0.114,0.334,1,"2024"
"Zone_3 vs Zone_2B",1.716,0.256,0.166,0.996,"2024"
"Zone_2A vs Zone_1",11.242,0.413,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.733,0.068,0.585,1,"2025"
"Zone_2A vs Zone_2B",0.867,0.088,0.52,1,"2025"
"Zone_1 vs Zone_3",5.686,0.321,0.017,0.102,"2025"
"Zone_1 vs Zone_2B",4.71,0.3,0.04,0.24,"2025"
"Zone_3 vs Zone_2B",0.615,0.109,0.783,1,"2025"
