"Year","F_value","R2","p_value"
"2022",8.892,0.548,0.003
"2022",2.652,0.307,0.043
"2023",5.834,0.443,0.001
"2023",8.392,0.534,0.001
"2024",4.117,0.37,0.006
"2024",6.341,0.475,0.001
"2025",6.645,0.487,0.001
"2025",18.864,0.729,0.001
