"Year","F_value","p_value"
"2022",5.3,0.016
"2022",4.565,0.04
"2023",2.529,0.077
"2023",3.766,0.027
"2024",5.068,0.008
"2024",2.953,0.051
"2025",2.857,0.046
"2025",1.038,0.404
