"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2A vs Zone_2B",2.199,0.196,0.08,0.48,"2022"
"Zone_2A vs Zone_3",0.597,0.051,0.869,1,"2022"
"Zone_2A vs Zone_1",4.143,0.206,0.004,0.024,"2022"
"Zone_2B vs Zone_3",1.685,0.219,0.109,0.654,"2022"
"Zone_2B vs Zone_1",2.282,0.172,0.022,0.132,"2022"
"Zone_3 vs Zone_1",2.607,0.167,0.019,0.114,"2022"
"Zone_2B vs Zone_3",2.014,0.251,0.019,0.114,"2023"
"Zone_2B vs Zone_2A",1.269,0.124,0.232,1,"2023"
"Zone_2B vs Zone_1",2.899,0.209,0.012,0.072,"2023"
"Zone_3 vs Zone_2A",1.141,0.094,0.297,1,"2023"
"Zone_3 vs Zone_1",3.735,0.223,0.003,0.018,"2023"
"Zone_2A vs Zone_1",2.966,0.156,0.003,0.018,"2023"
"Zone_1 vs Zone_2A",3.848,0.194,0.001,0.006,"2024"
"Zone_1 vs Zone_3",3.765,0.239,0.002,0.012,"2024"
"Zone_1 vs Zone_2B",3.592,0.246,0.005,0.03,"2024"
"Zone_2A vs Zone_3",1.452,0.127,0.056,0.336,"2024"
"Zone_2A vs Zone_2B",1.742,0.162,0.015,0.09,"2024"
"Zone_3 vs Zone_2B",1.201,0.194,0.081,0.486,"2024"
"Zone_2A vs Zone_1",7.445,0.318,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.725,0.068,0.794,1,"2025"
"Zone_2A vs Zone_2B",1.357,0.131,0.166,0.996,"2025"
"Zone_1 vs Zone_3",6.924,0.366,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",7.491,0.405,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",1.777,0.262,0.093,0.558,"2025"
