"Year","F_value","R2","p_value"
"2022",6.642,0.475,0.002
"2022",2.764,0.315,0.004
"2023",6.309,0.462,0.001
"2023",6.78,0.48,0.002
"2024",4.569,0.395,0.002
"2024",6.536,0.483,0.001
"2025",6.469,0.48,0.001
"2025",10.898,0.609,0.001
