"diff","lwr","upr","p adj","Comparison","Year"
-0.209586480655147,-0.385655959714198,-0.0335170015960971,0.0157708296575914,"Zone_2A-Zone_1","2022"
-0.238319492449153,-0.482664724516446,0.00602573961813946,0.0576439541647275,"Zone_2B-Zone_1","2022"
-0.206562890881717,-0.409870413143357,-0.00325536862007728,0.0455419893159261,"Zone_3-Zone_1","2022"
-0.028733011794006,-0.280027834962663,0.222561811374651,0.988613554916043,"Zone_2B-Zone_2A","2022"
0.00302358977343041,-0.208585588490449,0.21463276803731,0.999976825988872,"Zone_3-Zone_2A","2022"
0.0317566015674364,-0.239320094781417,0.302833297916289,0.987779043293489,"Zone_3-Zone_2B","2022"
-0.0444932825213442,-0.0963012576086024,0.00731469256591395,0.109169675316005,"Zone_2A-Zone_1","2024"
-0.0806614370154307,-0.152559370508987,-0.00876350352187487,0.0242766213076172,"Zone_2B-Zone_1","2024"
-0.0671076263382788,-0.131723523897959,-0.00249172877859889,0.0399478536734599,"Zone_3-Zone_1","2024"
-0.0361681544940865,-0.110110986652478,0.0377746776643046,0.53490676113781,"Zone_2B-Zone_2A","2024"
-0.0226143438169346,-0.0894981520548278,0.0442694644209586,0.782610656955354,"Zone_3-Zone_2A","2024"
0.0135538106771519,-0.0698649543724764,0.0969725757267802,0.968330088311179,"Zone_3-Zone_2B","2024"
-0.111731776541951,-0.241321747157226,0.0178581940733252,0.107238265890949,"Zone_2A-Zone_1","2025"
-0.134303701426042,-0.314145725227132,0.0455383223750481,0.191586566692555,"Zone_2B-Zone_1","2025"
-0.111816429085169,-0.273443519353324,0.0498106611829854,0.246801206492901,"Zone_3-Zone_1","2025"
-0.0225719248840912,-0.207528959596935,0.162385109828753,0.98606750187876,"Zone_2B-Zone_2A","2025"
-8.46525432188563e-05,-0.167384585219376,0.167215280132938,0.999999998956875,"Zone_3-Zone_2A","2025"
0.0224872723408723,-0.186172403960637,0.231146948642381,0.990301453195355,"Zone_3-Zone_2B","2025"
