"diff","lwr","upr","p adj","Comparison","Year"
-0.0863319088506312,-0.151449180511376,-0.0212146371898865,0.00664241674456389,"Zone_2A-Zone_1","2022"
-0.127941246165999,-0.218309519762113,-0.0375729725698841,0.00369261748902128,"Zone_2B-Zone_1","2022"
-0.124442181757456,-0.199633130401906,-0.0492512331130065,0.000756862864287999,"Zone_3-Zone_1","2022"
-0.0416093373153674,-0.13454783724541,0.0513291626146754,0.607049796122427,"Zone_2B-Zone_2A","2022"
-0.0381102729068252,-0.116371493537203,0.0401509477235525,0.541066798657199,"Zone_3-Zone_2A","2022"
0.0034990644085422,-0.0967555337840577,0.103753662601142,0.999663385279775,"Zone_3-Zone_2B","2022"
-0.10675411478536,-0.187286837393492,-0.0262213921772275,0.00665068496999455,"Zone_2A-Zone_1","2023"
-0.160077331044633,-0.271838818043158,-0.0483158440461087,0.0033123734871483,"Zone_2B-Zone_1","2023"
-0.135951364632796,-0.228942542785554,-0.042960186480039,0.00272428686630544,"Zone_3-Zone_1","2023"
-0.0533232162592733,-0.168263388714227,0.0616169561956805,0.57970977045935,"Zone_2B-Zone_2A","2023"
-0.0291972498474365,-0.125985536752883,0.06759103705801,0.835995256872025,"Zone_3-Zone_2A","2023"
0.0241259664118368,-0.0998622711251731,0.148114203948847,0.94816283899103,"Zone_3-Zone_2B","2023"
-0.072812019093173,-0.141193553680269,-0.00443048450607707,0.0342133387449901,"Zone_2A-Zone_1","2024"
-0.150844454093169,-0.245742797787352,-0.0559461103989854,0.00123060532236685,"Zone_2B-Zone_1","2024"
-0.113404956739011,-0.198691714741259,-0.0281181987367622,0.00662250827083466,"Zone_3-Zone_1","2024"
-0.0780324349999957,-0.175629847873027,0.0195649778730356,0.148077460657525,"Zone_2B-Zone_2A","2024"
-0.0405929376458377,-0.128873119193814,0.0476872439021387,0.584106354339083,"Zone_3-Zone_2A","2024"
0.037439497354158,-0.0726652337774188,0.147544228485735,0.779733444472377,"Zone_3-Zone_2B","2024"
-0.0280506576068638,-0.0910366220638721,0.0349353068501444,0.608546930449414,"Zone_2A-Zone_1","2025"
-0.103517168105624,-0.190927661874781,-0.0161066743364661,0.0165572849975031,"Zone_2B-Zone_1","2025"
-0.067211878215595,-0.145769177940144,0.0113454215089536,0.111043385508732,"Zone_3-Zone_1","2025"
-0.0754665104987599,-0.165363106347849,0.0144300853503296,0.120781322253349,"Zone_2B-Zone_2A","2025"
-0.0391612206087312,-0.120475751071,0.0421533098535372,0.547483821897347,"Zone_3-Zone_2A","2025"
0.0363052898900287,-0.0651117479620383,0.137722327742096,0.75226586984399,"Zone_3-Zone_2B","2025"
