"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2B vs Zone_1",3.471,0.24,0.007,0.021,"2022"
"Zone_2B vs Zone_2A",0.614,0.17,0.5,1,"2022"
"Zone_1 vs Zone_2A",3.392,0.253,0.014,0.042,"2022"
"Zone_2B vs Zone_3",0.879,0.128,0.538,1,"2023"
"Zone_2B vs Zone_2A",0.855,0.087,0.548,1,"2023"
"Zone_2B vs Zone_1",8.529,0.437,0.007,0.042,"2023"
"Zone_3 vs Zone_2A",1.79,0.14,0.115,0.69,"2023"
"Zone_3 vs Zone_1",14.707,0.531,0.001,0.006,"2023"
"Zone_2A vs Zone_1",7.081,0.307,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",8.609,0.35,0.001,0.006,"2024"
"Zone_1 vs Zone_3",14.515,0.547,0.002,0.012,"2024"
"Zone_1 vs Zone_2B",12.062,0.523,0.005,0.03,"2024"
"Zone_2A vs Zone_3",1.948,0.163,0.09,0.54,"2024"
"Zone_2A vs Zone_2B",1.942,0.177,0.089,0.534,"2024"
"Zone_3 vs Zone_2B",1.629,0.246,0.149,0.894,"2024"
"Zone_2A vs Zone_1",18.76,0.54,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.505,0.048,0.797,1,"2025"
"Zone_2A vs Zone_2B",0.542,0.057,0.766,1,"2025"
"Zone_1 vs Zone_3",25.476,0.68,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",29.496,0.728,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",0.445,0.082,0.793,1,"2025"
