"Year","F_value","p_value"
"2022",5.927,0.014
"2022",0.559,0.608
"2023",2.659,0.061
"2023",4.569,0.012
"2024",5.904,0.003
"2024",2.206,0.1
"2025",3.22,0.031
"2025",2.516,0.079
