"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2A vs Zone_2B",1.101,0.109,0.118,0.708,"2022"
"Zone_2A vs Zone_3",0.965,0.081,0.694,1,"2022"
"Zone_2A vs Zone_1",3.322,0.172,0.001,0.006,"2022"
"Zone_2B vs Zone_3",1.112,0.156,0.098,0.588,"2022"
"Zone_2B vs Zone_1",2.092,0.16,0.025,0.15,"2022"
"Zone_3 vs Zone_1",2.803,0.177,0.002,0.012,"2022"
"Zone_2B vs Zone_3",1.055,0.15,0.114,0.684,"2023"
"Zone_2B vs Zone_2A",1.253,0.122,0.082,0.492,"2023"
"Zone_2B vs Zone_1",2.644,0.194,0.018,0.108,"2023"
"Zone_3 vs Zone_2A",1.119,0.092,0.157,0.942,"2023"
"Zone_3 vs Zone_1",3.564,0.215,0.003,0.018,"2023"
"Zone_2A vs Zone_1",3.706,0.188,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",3.936,0.197,0.001,0.006,"2024"
"Zone_1 vs Zone_3",3.635,0.232,0.002,0.012,"2024"
"Zone_1 vs Zone_2B",2.946,0.211,0.011,0.066,"2024"
"Zone_2A vs Zone_3",1.281,0.114,0.069,0.414,"2024"
"Zone_2A vs Zone_2B",1.188,0.117,0.089,0.534,"2024"
"Zone_3 vs Zone_2B",0.899,0.152,0.838,1,"2024"
"Zone_2A vs Zone_1",5.827,0.267,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.907,0.083,0.653,1,"2025"
"Zone_2A vs Zone_2B",0.937,0.094,0.548,1,"2025"
"Zone_1 vs Zone_3",4.479,0.272,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",4.266,0.279,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",0.834,0.143,0.892,1,"2025"
