"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",-0.111731776541951,-0.241321747157226,0.0178581940733252,0.107238265890949
"Zone_2B-Zone_1",-0.134303701426042,-0.314145725227132,0.0455383223750481,0.191586566692555
"Zone_3-Zone_1",-0.111816429085169,-0.273443519353324,0.0498106611829854,0.246801206492901
"Zone_2B-Zone_2A",-0.0225719248840912,-0.207528959596935,0.162385109828753,0.98606750187876
"Zone_3-Zone_2A",-8.46525432188563e-05,-0.167384585219376,0.167215280132938,0.999999998956875
"Zone_3-Zone_2B",0.0224872723408723,-0.186172403960637,0.231146948642381,0.990301453195355
