Species	2022 Complete set
Enchelyopus cimbrius	12473995
Brevoortia tyrannus	16045334
Microgadus tomcod	9371638
Fundulus heteroclitus	25326693
Clupea harengus	11528970
Anguilla rostrata	3289770
Menidia menidia	3451866
Osmerus mordax	262493
Alosa pseudoharengus	3313899
Brevoortia patronus	5004255
Tautogolabrus adspersus	1928479
Ammodytes dubius	10
Sebastes mentella	31
Urophycis chuss	2187245
Alosa sapidissima	1605709
Scomber scombrus	15
Phocoena phocoena	31086
Reinhardtius hippoglossoides	195
