Species	2025 Complete set
Obelia longissima	7118
Flustra foliacea	240
Myxine glutinosa	3
Nucula proxima	5762
Heteranomia squamula	20289
Myxine limosa	4
Dodecaceria concharum	30
Alitta virens	183
Centropages typicus	547
Echinarachnius parma	7
Nicolea zostericola	117
Obelia dichotoma	158
Cancer irroratus	6
Microgadus tomcod	242
Parasagitta elegans	105
Neochildia fusca	13
Tubularia indivisa	18
Onchidoris muricata	49
Strongylocentrotus droebachiensis	11
Alcyonidium polyoum	106
Polycirrus eximius	5
Sabellaria vulgaris	855
Hartlaubella gelatinosa	622
Clymenella torquata	229
Chone infundibuliformis	23
Gonothyraea loveni	30
Brevoortia tyrannus	42
Electra pilosa	2266
Terebellides stroemii	9
Polydora cornuta	83
Carcinus maenas	58
Clava multicornis	11
Membranipora membranacea	4417
Nereis pelagica	6
Leptasterias littoralis	9
Balanus crenatus	33
Hediste diversicolor	20
Oithona similis	44
Gammarus mucronatus	3
Monocorophium insidiosum	27
Semibalanus balanoides	105
Squalus acanthias	28
Amathia imbricata	20
Halichondria panicea	46
Laomedea flexuosa	489
Eubranchus exiguus	2
Fundulus heteroclitus	188
Zoarces americanus	9
Amathia gracilis	18
Paracalanus parvus	641
Alderia modesta	66
Obelia geniculata	6178
Marenzelleria viridis	29
Clytia hemisphaerica	13
Mya arenaria	12
Streblospio benedicti	646
Lacuna vincta	14
Neomysis americana	15
Halecium halecinum	641
Balanus balanus	6
Menidia menidia	31
Morone saxatilis	7
Ninoe nigripes	26
Stereobalanus canadensis	4
Caberea ellisii	16
Nanomia cara	17
Anobothrus gracilis	3
Mytilus trossulus	3
Acanthodoris pilosa	58
Tetrastemma candidum	5
Osmerus mordax	88
Amphibalanus improvisus	59
Ilyanassa trivittata	13
Dendrobeania murrayana	12
Pista maculata	381
Pseudocalanus moultoni	33
Tautogolabrus adspersus	4
Calycella syringa	79
Littorina littorea	2
Leucoraja erinaceus	5
Capitella capitata	452
Myrianida prolifera	16
Pseudopleuronectes americanus	13
Apeltes quadracus	4
Corophium volutator	176
Lafoea dumosa	3
Leuckartiara octona	6
Bougainvillia muscus	6
Ophelina acuminata	10
Littorina obtusata	14
Flustrellidra hispida	2
Littorina saxatilis	27
Evadne nordmanni	14
Modiolus modiolus	8
Sternaspis scutata	7
Nephtys caeca	407
Pseudocalanus newmani	194
Pherusa affinis	21
Eubranchus tricolor	10
Centropages hamatus	528
Illex coindetii	9
Pontogeneia inermis	6
Boltenia echinata	9
Clupea harengus	2
Pleopis polyphemoides	6
Priapulus caudatus	4
Haliclystus auricula	2
Scomber scombrus	3
Onchidoris bilamellata	3
Tubificoides benedii	16
Urophycis tenuis	11
Orchestia grillus	11
Brevoortia patronus	11
Phocoena phocoena	7
Dynamena pumila	157
