Marker,Metric,Year,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
mifish,Faith's PD,2022,diversity_value,Zone_1,Zone_2A,10,2,0.2886751345948129,0.7728299926844475,0.7728299926844475,ns
mifish,Faith's PD,2022,diversity_value,Zone_1,Zone_2B,10,3,-1.075663182437366,0.28207791905653595,0.4611512488910928,ns
mifish,Faith's PD,2022,diversity_value,Zone_2A,Zone_2B,2,3,-1.0206207261596578,0.3074341659273952,0.4611512488910928,ns
mifish,Faith's PD,2023,diversity_value,Zone_1,Zone_2A,10,8,-3.521208298615862,4.2958502079723797e-4,0.002577510124783428,**
mifish,Faith's PD,2023,diversity_value,Zone_1,Zone_2B,10,3,-1.5690547915404405,0.1166351725617424,0.2332703451234848,ns
mifish,Faith's PD,2023,diversity_value,Zone_1,Zone_3,10,5,-3.1747759415748185,0.0014995223925007004,0.004498567177502102,**
mifish,Faith's PD,2023,diversity_value,Zone_2A,Zone_2B,8,3,0.9414688716912717,0.3464646340174478,0.41575756082093734,ns
mifish,Faith's PD,2023,diversity_value,Zone_2A,Zone_3,8,5,-0.12040366032691184,0.904163391976395,0.904163391976395,ns
mifish,Faith's PD,2023,diversity_value,Zone_2B,Zone_3,3,5,-0.9667550799532345,0.3336664850829709,0.41575756082093734,ns
mifish,Faith's PD,2024,diversity_value,Zone_1,Zone_2A,10,8,-0.4153466269428709,0.6778881724632998,0.6778881724632998,ns
mifish,Faith's PD,2024,diversity_value,Zone_1,Zone_2B,10,3,0.4403333863384204,0.659695663389873,0.6778881724632998,ns
mifish,Faith's PD,2024,diversity_value,Zone_1,Zone_3,10,4,1.4469065144433009,0.14792310835981845,0.4437693250794553,ns
mifish,Faith's PD,2024,diversity_value,Zone_2A,Zone_2B,8,3,0.7191681286060982,0.47203733423038585,0.6778881724632998,ns
mifish,Faith's PD,2024,diversity_value,Zone_2A,Zone_3,8,4,1.7195706082982103,0.08551052263941814,0.4437693250794553,ns
mifish,Faith's PD,2024,diversity_value,Zone_2B,Zone_3,3,4,0.741249316661101,0.4585422862551145,0.6778881724632998,ns
mifish,Faith's PD,2025,diversity_value,Zone_1,Zone_2A,10,8,-2.0767331347143556,0.037826196612227546,0.07565239322445509,ns
mifish,Faith's PD,2025,diversity_value,Zone_1,Zone_2B,10,3,0.8944271909999156,0.3710933695226977,0.44531204342723724,ns
mifish,Faith's PD,2025,diversity_value,Zone_1,Zone_3,10,4,-1.7225077552896437,0.08497757914833853,0.1274663687225078,ns
mifish,Faith's PD,2025,diversity_value,Zone_2A,Zone_2B,8,3,2.3247527878197123,0.02008518284081994,0.07565239322445509,ns
mifish,Faith's PD,2025,diversity_value,Zone_2A,Zone_3,8,4,-0.05547001962252291,0.9557640140391647,0.9557640140391647,ns
mifish,Faith's PD,2025,diversity_value,Zone_2B,Zone_3,3,4,-2.105148059317527,0.03527842190934615,0.07565239322445509,ns
