Zone,Year,Marker,Metric,n,mean,sd,median,min,max
Zone_1,2022,mifish,Faith's PD,10,2.8767219535909265,1.7198375851689456,2.8701694869802354,0.6368177583336254,5.467907269782183
Zone_1,2023,mifish,Faith's PD,10,3.428419918674053,0.37802606141898104,3.2726856830279334,3.014863147874651,4.085815775386095
Zone_1,2024,mifish,Faith's PD,10,11.767963734779096,1.221757896484107,11.907713477173445,9.697540118135649,13.18526343394796
Zone_1,2025,mifish,Faith's PD,10,1.8128842883489715,0.26559508773884927,1.736754116275773,1.519451462519838,2.486700112129316
Zone_2A,2022,mifish,Faith's PD,2,2.9318679011812896,0.4630345102797416,2.9318679011812896,2.604453059039092,3.259282743323487
Zone_2A,2023,mifish,Faith's PD,8,2.5117863059279735,0.47777571254933526,2.4423897181491454,1.876057096231221,3.443118898184977
Zone_2A,2024,mifish,Faith's PD,8,11.343712580992058,1.7519288795420267,11.381537839433136,8.52743601398035,13.21649391456839
Zone_2A,2025,mifish,Faith's PD,8,1.6425870770200994,0.08256197463982383,1.618727628715519,1.525219564275977,1.767192843026961
Zone_2B,2022,mifish,Faith's PD,3,1.652353371943976,1.009741429221691,1.20966767984927,0.939565719935711,2.807826716046947
Zone_2B,2023,mifish,Faith's PD,3,2.8171517693460477,0.21465761884963758,2.906479067251469,2.572254834656716,2.972721406129958
Zone_2B,2024,mifish,Faith's PD,3,12.32096427457088,1.2450391506610785,12.89558274627296,10.8923913988614,13.17491867857828
Zone_2B,2025,mifish,Faith's PD,3,2.1464848592253825,0.38313498458548934,2.304457302391328,1.70962163808326,2.42537563720156
Zone_3,2023,mifish,Faith's PD,5,2.517717729247199,0.2628657004549486,2.418474477010888,2.266926094630222,2.945958784096672
Zone_3,2024,mifish,Faith's PD,4,12.669848091041288,0.9061961264913355,12.875428354436636,11.46473954322948,13.4637961120624
Zone_3,2025,mifish,Faith's PD,4,1.6212773114899086,0.07550132711743512,1.63041666217278,1.520578197397994,1.703697724216081
