Zone,Year,Marker,Metric,n,mean,sd,median,min,max
Zone_1,2022,mifish,Shannon Index,10,1.3803843099191018,0.67256297406184,1.3318572948946037,0.3710007708273731,2.35835475493614
Zone_1,2023,mifish,Shannon Index,10,2.6452713043101204,0.4626693165390951,2.6497058648413043,1.585414107111489,3.216714260698152
Zone_1,2024,mifish,Shannon Index,10,2.6989078239381925,0.49939390069046485,2.6896542616844727,1.7262014857916466,3.3317866618296454
Zone_1,2025,mifish,Shannon Index,10,1.8853191671438532,0.4738755562418594,1.9237400846439012,1.152115279372283,2.5287777970482574
Zone_2A,2022,mifish,Shannon Index,2,0.6160224561706549,0.6575245307638945,0.6160224561706549,0.15108240167100231,1.0809625106703074
Zone_2A,2023,mifish,Shannon Index,8,1.5310440560666547,0.8751377585480222,1.4929961798709934,0.45373152034173914,2.589503173637843
Zone_2A,2024,mifish,Shannon Index,8,3.4883072934718906,0.7080731630998228,3.4351365781344105,2.496384317939117,4.480363810111719
Zone_2A,2025,mifish,Shannon Index,8,1.5817723219498285,0.6915644567405907,1.6616120559444743,0.2690528528813551,2.546518334693477
Zone_2B,2022,mifish,Shannon Index,3,0.9074855222191649,0.4686977383675995,0.8082026532586325,0.4963832601618366,1.4178706532370258
Zone_2B,2023,mifish,Shannon Index,3,1.1286349119966905,0.36648716077959304,1.1996013411178266,0.731854501945162,1.4544488929270831
Zone_2B,2024,mifish,Shannon Index,3,3.9647567310680603,0.44346397715249913,3.957240838258091,3.525098470565399,4.41193088438069
Zone_2B,2025,mifish,Shannon Index,3,1.8222532845248005,0.6453572690953824,1.9583908817105449,1.1196878974867115,2.388681074377145
Zone_3,2023,mifish,Shannon Index,5,0.8207870466143512,0.5251030826819412,0.6465069282947274,0.4435327109755053,1.744661461763678
Zone_3,2024,mifish,Shannon Index,4,3.499852531662067,0.5071237534350421,3.693953342316094,2.760495637120955,3.851007804895124
Zone_3,2025,mifish,Shannon Index,4,1.2757543324697191,0.7025958263254055,1.3319693493866127,0.3655009827938296,2.0735776483118213
