Zone,Year,Marker,Metric,n,mean,sd,median,min,max
Zone_1,2022,COI,Shannon Index,10,8.009596626554476,0.683032082008488,8.295904391128175,6.776539912509722,8.657247598409326
Zone_1,2023,COI,Shannon Index,10,6.908005140320129,0.41576740789652966,6.880981672979237,6.356966237197869,7.789821448847712
Zone_1,2024,COI,Shannon Index,10,5.050166565948939,0.32029489994692534,4.962269221308556,4.606456723415619,5.590330567412374
Zone_1,2025,COI,Shannon Index,10,5.579921901983072,0.48538752119722334,5.5031423004566395,4.900616357210882,6.257530537787368
Zone_2A,2022,COI,Shannon Index,8,8.24831147984958,0.1937725215686635,8.228037124613142,7.965796817666569,8.559254839414344
Zone_2A,2023,COI,Shannon Index,8,7.99579218788359,0.2472615249312137,8.024752428356686,7.573375509582387,8.309305260197661
Zone_2A,2024,COI,Shannon Index,8,4.729358792357763,0.12881572228105556,4.774828201250066,4.534688326730478,4.9078008021405495
Zone_2A,2025,COI,Shannon Index,8,4.302556004301677,0.25521097692210065,4.285295957063312,3.90234786034644,4.669261597509499
Zone_2B,2022,COI,Shannon Index,3,8.010820665482072,0.1500678759071083,8.039188773869022,7.848593356801333,8.144679865775862
Zone_2B,2023,COI,Shannon Index,3,8.476271340071618,0.1630785935965739,8.506533459173806,8.300181339172054,8.622099221868995
Zone_2B,2024,COI,Shannon Index,3,4.65874822890635,0.05149462661871333,4.662301206149648,4.60556912522348,4.708374355345923
Zone_2B,2025,COI,Shannon Index,3,4.3862029463384085,0.18304297023126526,4.298374810240121,4.26362559468909,4.596608434086014
Zone_3,2022,COI,Shannon Index,5,8.144118707173046,0.206867563602422,8.189737201511265,7.810131113006395,8.333444582595094
Zone_3,2023,COI,Shannon Index,5,8.236766953015936,0.1781950705103661,8.206110646608066,8.069601505350036,8.502182980177027
Zone_3,2024,COI,Shannon Index,4,4.671083496797373,0.11537780728124782,4.651497657140389,4.553782430587243,4.8275562423214735
Zone_3,2025,COI,Shannon Index,4,4.491973648148761,0.36289192132297315,4.5230053618939605,4.068356089136684,4.853527779670437
