Marker,Metric,Year,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
mifish,Shannon Index,2022,diversity_value,Zone_1,Zone_2A,10,2,-1.5011106998930268,0.13332693177434946,0.39998079532304837,ns
mifish,Shannon Index,2022,diversity_value,Zone_1,Zone_2B,10,3,-0.8605305459498923,0.38949665293714336,0.5136291133931239,ns
mifish,Shannon Index,2022,diversity_value,Zone_2A,Zone_2B,2,3,0.653197264742181,0.5136291133931239,0.5136291133931239,ns
mifish,Shannon Index,2023,diversity_value,Zone_1,Zone_2A,10,8,-2.6460743379031144,0.008143191901514218,0.024429575704542655,*
mifish,Shannon Index,2023,diversity_value,Zone_1,Zone_2B,10,3,-2.2377237111420634,0.02523907801832523,0.05047815603665046,ns
mifish,Shannon Index,2023,diversity_value,Zone_1,Zone_3,10,5,-3.532833378594535,4.1113150010645887e-4,0.0024667890006387534,**
mifish,Shannon Index,2023,diversity_value,Zone_2A,Zone_2B,8,3,-0.3218696997235116,0.7475514087563181,0.7475514087563181,ns
mifish,Shannon Index,2023,diversity_value,Zone_2A,Zone_3,8,5,-1.1925695879998879,0.23303798227390538,0.34955697341085806,ns
mifish,Shannon Index,2023,diversity_value,Zone_2B,Zone_3,3,5,-0.6325681387348325,0.5270156988616923,0.6324188386340307,ns
mifish,Shannon Index,2024,diversity_value,Zone_1,Zone_2A,10,8,2.284406448185791,0.022347654964335464,0.06704296489300639,ns
mifish,Shannon Index,2024,diversity_value,Zone_1,Zone_2B,10,3,2.8071253379074284,0.004998578859408575,0.029991473156451447,*
mifish,Shannon Index,2024,diversity_value,Zone_1,Zone_3,10,4,2.0325591512417795,0.04209708200150507,0.08419416400301014,ns
mifish,Shannon Index,2024,diversity_value,Zone_2A,Zone_2B,8,3,1.1289267135095726,0.2589287506655116,0.38839312599826736,ns
mifish,Shannon Index,2024,diversity_value,Zone_2A,Zone_3,8,4,0.1941450686788302,0.8460622932235979,0.8460622932235979,ns
mifish,Shannon Index,2024,diversity_value,Zone_2B,Zone_3,3,4,-0.8450242209936554,0.3980973158575054,0.47771677902900644,ns
mifish,Shannon Index,2025,diversity_value,Zone_1,Zone_2A,10,8,-0.9237881875108683,0.35559660653019737,0.7961946317150108,ns
mifish,Shannon Index,2025,diversity_value,Zone_1,Zone_2B,10,3,-0.2270469023307478,0.8203872715780818,0.8203872715780818,ns
mifish,Shannon Index,2025,diversity_value,Zone_1,Zone_3,10,4,-1.343556049125922,0.17909198995011785,0.7961946317150108,ns
mifish,Shannon Index,2025,diversity_value,Zone_2A,Zone_2B,8,3,0.4264834251036163,0.6697556231711634,0.8037067478053961,ns
mifish,Shannon Index,2025,diversity_value,Zone_2A,Zone_3,8,4,-0.5824352060364906,0.5602735733449105,0.8037067478053961,ns
mifish,Shannon Index,2025,diversity_value,Zone_2B,Zone_3,3,4,-0.8450242209936554,0.3980973158575054,0.7961946317150108,ns
