Marker,Metric,Year,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
COI,Faith's PD,2022,diversity_value,Zone_1,Zone_2A,10,8,-0.5650471242397277,0.5720417118349785,0.8061319116028726,ns
COI,Faith's PD,2022,diversity_value,Zone_1,Zone_2B,10,3,-0.42371099855944416,0.6717765930023938,0.8061319116028726,ns
COI,Faith's PD,2022,diversity_value,Zone_1,Zone_3,10,5,-1.7664166892972675,0.07732596718540541,0.46395580311243245,ns
COI,Faith's PD,2022,diversity_value,Zone_2A,Zone_2B,8,3,-0.0160934849861757,0.9871598110711198,0.9871598110711198,ns
COI,Faith's PD,2022,diversity_value,Zone_2A,Zone_3,8,5,-1.226970633807577,0.2198336285033775,0.6595008855101325,ns
COI,Faith's PD,2022,diversity_value,Zone_2B,Zone_3,3,5,-0.9428845841519198,0.3457399408602775,0.691479881720555,ns
COI,Faith's PD,2023,diversity_value,Zone_1,Zone_2A,10,8,0.578828761416306,0.5627047222720813,0.5627047222720813,ns
COI,Faith's PD,2023,diversity_value,Zone_1,Zone_2B,10,3,2.8666697246287374,0.004148156649516697,0.024888939897100178,*
COI,Faith's PD,2023,diversity_value,Zone_1,Zone_3,10,5,1.5993232186880668,0.10974880300165892,0.21949760600331783,ns
COI,Faith's PD,2023,diversity_value,Zone_2A,Zone_2B,8,3,2.3818357779539863,0.017226577775444434,0.0516797333263333,ns
COI,Faith's PD,2023,diversity_value,Zone_2A,Zone_3,8,5,1.054965404769132,0.2914411472020942,0.349729376642513,ns
COI,Faith's PD,2023,diversity_value,Zone_2B,Zone_3,3,5,-1.3844887564762365,0.1662088484999276,0.2493132727498914,ns
COI,Faith's PD,2024,diversity_value,Zone_1,Zone_2A,10,8,-2.6711084801670846,0.007560120987620239,0.045360725925721435,*
COI,Faith's PD,2024,diversity_value,Zone_1,Zone_2B,10,3,-1.9333387743921255,0.05319447819895628,0.10638895639791256,ns
COI,Faith's PD,2024,diversity_value,Zone_1,Zone_3,10,4,-2.285193622017594,0.022301477021365947,0.06690443106409784,ns
COI,Faith's PD,2024,diversity_value,Zone_2A,Zone_2B,8,3,-0.008362420100070789,0.9933278318754939,0.9933278318754939,ns
COI,Faith's PD,2024,diversity_value,Zone_2A,Zone_3,8,4,-0.1386750490563073,0.8897069355331012,0.9933278318754939,ns
COI,Faith's PD,2024,diversity_value,Zone_2B,Zone_3,3,4,-0.10377490433255428,0.9173479823613087,0.9933278318754939,ns
COI,Faith's PD,2025,diversity_value,Zone_1,Zone_2A,10,8,-3.1007774045907444,0.0019301332621873657,0.011580799573124193,*
COI,Faith's PD,2025,diversity_value,Zone_1,Zone_2B,10,3,-1.4861251788921679,0.1372460134439632,0.34953591215340307,ns
COI,Faith's PD,2025,diversity_value,Zone_1,Zone_3,10,4,-1.2516889688438075,0.21068322122391756,0.34953591215340307,ns
COI,Faith's PD,2025,diversity_value,Zone_2A,Zone_2B,8,3,0.7275305487061691,0.4669010084447014,0.5602812101336416,ns
COI,Faith's PD,2025,diversity_value,Zone_2A,Zone_3,8,4,1.1926054218842426,0.23302394143560207,0.34953591215340307,ns
COI,Faith's PD,2025,diversity_value,Zone_2B,Zone_3,3,4,0.3113247129976625,0.75555378187998945,0.75555378187998945,ns
