"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",-0.0747208360525337,-0.130346712596545,-0.0190949595085219,0.00593006568165955
"Zone_2B-Zone_1",-0.114746092975932,-0.191942423570712,-0.037549762381152,0.0023182418411215
"Zone_3-Zone_1",-0.110115765225646,-0.174346994818834,-0.0458845356324575,0.000509975852745037
"Zone_2B-Zone_2A",-0.0400252569233982,-0.119417181545614,0.0393666676988177,0.512583472074251
"Zone_3-Zone_2A",-0.0353949291731119,-0.102248912547133,0.0314590542009093,0.471487381654043
"Zone_3-Zone_2B",0.00463032775028627,-0.0810113117072979,0.0902719672078704,0.99875565014217
