"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",-0.0863319088506312,-0.151449180511376,-0.0212146371898865,0.00664241674456389
"Zone_2B-Zone_1",-0.127941246165999,-0.218309519762113,-0.0375729725698841,0.00369261748902128
"Zone_3-Zone_1",-0.124442181757456,-0.199633130401906,-0.0492512331130065,0.000756862864287999
"Zone_2B-Zone_2A",-0.0416093373153674,-0.13454783724541,0.0513291626146754,0.607049796122427
"Zone_3-Zone_2A",-0.0381102729068252,-0.116371493537203,0.0401509477235525,0.541066798657199
"Zone_3-Zone_2B",0.0034990644085422,-0.0967555337840577,0.103753662601142,0.999663385279775
