"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",-0.0600708573039359,-0.122532509472153,0.00239079486428126,0.0622065731932262
"Zone_2B-Zone_1",-0.109450517124888,-0.19613338218426,-0.0227676520655159,0.0101392804516398
"Zone_3-Zone_1",-0.080372465843332,-0.15827583325177,-0.00246909843489389,0.0415896509035864
"Zone_2B-Zone_2A",-0.0493796598209518,-0.138527931970778,0.039768612328874,0.430546314128727
"Zone_3-Zone_2A",-0.0203016085393961,-0.100939254747431,0.0603360376686391,0.895239576569808
"Zone_3-Zone_2B",0.0290780512815557,-0.0714947635805637,0.129650866143675,0.850925375284723
