"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",-0.072812019093173,-0.141193553680269,-0.00443048450607707,0.0342133387449901
"Zone_2B-Zone_1",-0.150844454093169,-0.245742797787352,-0.0559461103989854,0.00123060532236685
"Zone_3-Zone_1",-0.113404956739011,-0.198691714741259,-0.0281181987367622,0.00662250827083466
"Zone_2B-Zone_2A",-0.0780324349999957,-0.175629847873027,0.0195649778730356,0.148077460657525
"Zone_3-Zone_2A",-0.0405929376458377,-0.128873119193814,0.0476872439021387,0.584106354339083
"Zone_3-Zone_2B",0.037439497354158,-0.0726652337774188,0.147544228485735,0.779733444472377
