"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",-0.127349793509134,-0.232810778775824,-0.0218888082424431,0.014154178967292
"Zone_2B-Zone_1",-0.159549008683922,-0.305905373550501,-0.013192643817343,0.0292757506236996
"Zone_3-Zone_1",-0.131551783098187,-0.253327639563641,-0.00977592663273308,0.0310746987677021
"Zone_2B-Zone_2A",-0.0321992151747885,-0.182718202255435,0.118319771905858,0.932812624906306
"Zone_3-Zone_2A",-0.00420198958905338,-0.130950319569055,0.122546340390948,0.999711398834159
"Zone_3-Zone_2B",0.0279972255857351,-0.13437058303487,0.19036503420634,0.962984629768659
