	observed_features
Musq_19_24	511
Musq_21_24	542
Musq_23_24	510
Musq_25_24	519
Musq_27_24	508
Musq_29_24	515
Musq_31_24	442
Zone_2B_1_24	509
Zone_2B_2_24	506
Zone_2B_3_24	492
Zone_3_1_24	509
Zone_3_3_24	574
Zone_3_2_24	475
Zone_2A_12_24	547
Zone_2A_10_24	473
Zone_2A_1_24	538
Musq_01_24	764
Musq_03_24	550
Musq_05_24	579
Musq_07_24	475
Musq_09_24	580
Musq_11_24	729
Musq_13_24	746
Musq_15_24	928
Musq_17_24	761
