	observed_features
2A12B	1982
2A12S	1816
2B03B	1930
2B03S	1880
301B	2056
301S	1622
M08B	1104
M08S	1905
M19S	2131
M20B	2047
M30B	2274
M30S	2075
M32B	1798
M32S	2171
