	Musq_19_25	Musq_11_25	Musq_09_25	Musq_03_25	Musq_01_25	Musq_23_25	Zone_2A_12_25	Zone_2B_3_25	Zone_2B_2_25
Musq_19_25	0.0	0.6197916666666666	0.6009557945041816	0.6518918918918919	0.7133105802047781	0.639367816091954	0.6335012594458438	0.6647646219686163	0.6707482993197279
Musq_11_25	0.6197916666666666	0.0	0.5900621118012422	0.6238636363636364	0.6580882352941176	0.6739446870451238	0.6670902160101652	0.7161198288159771	0.7197278911564626
Musq_09_25	0.6009557945041816	0.5900621118012422	0.0	0.5738942826321467	0.6326530612244898	0.6795865633074936	0.6727688787185355	0.7346683354192741	0.7294685990338164
Musq_03_25	0.6518918918918919	0.6238636363636364	0.5738942826321467	0.0	0.5196304849884527	0.7335640138408305	0.7323076923076923	0.7881828316610925	0.7935828877005348
Musq_01_25	0.7133105802047781	0.6580882352941176	0.6326530612244898	0.5196304849884527	0.0	0.7801242236024845	0.7839305103148752	0.8385167464114832	0.8381171067738232
Musq_23_25	0.639367816091954	0.6739446870451238	0.6795865633074936	0.7335640138408305	0.7801242236024845	0.0	0.5945945945945946	0.5971479500891266	0.610738255033557
Zone_2A_12_25	0.6335012594458438	0.6670902160101652	0.6727688787185355	0.7323076923076923	0.7839305103148752	0.5945945945945946	0.0	0.5681114551083591	0.5451807228915663
Zone_2B_3_25	0.6647646219686163	0.7161198288159771	0.7346683354192741	0.7881828316610925	0.8385167464114832	0.5971479500891266	0.5681114551083591	0.0	0.5865051903114187
Zone_2B_2_25	0.6707482993197279	0.7197278911564626	0.7294685990338164	0.7935828877005348	0.8381171067738232	0.610738255033557	0.5451807228915663	0.5865051903114187	0.0
