	shannon_entropy
Musq_19_24	4.606456723415619
Musq_21_24	4.9078008021405495
Musq_23_24	4.643339044264801
Musq_25_24	4.787489226461195
Musq_27_24	4.762167176038937
Musq_29_24	4.819366632079329
Musq_31_24	4.67301096445313
Zone_2B_1_24	4.708374355345923
Zone_2B_2_24	4.662301206149648
Zone_2B_3_24	4.60556912522348
Zone_3_1_24	4.629984349827647
Zone_3_3_24	4.8275562423214735
Zone_3_2_24	4.553782430587243
Zone_2A_12_24	4.798091067518628
Zone_2A_10_24	4.534688326730478
Zone_2A_1_24	4.581928063628189
Musq_01_24	5.590330567412374
Musq_03_24	5.032901920503866
Musq_05_24	4.879849551251827
Musq_07_24	4.7235066066032605
Musq_09_24	4.882627264344792
Musq_11_24	5.307659484323874
Musq_13_24	4.891636522113246
Musq_15_24	5.467779642370331
Musq_17_24	5.1189173771502015
