#SampleID	faith_pd
Zone_2B_2_23	237.0373429959187
Zone_2B_3_23	237.4799552312758
Zone_2B_1_23	216.620296037491
Zone_3_1_23	217.940001716515
Zone_3_4_23	200.0404676656625
Zone_3_3_23	224.5325282261803
Zone_3_2_23	174.2989149024195
Zone_2A_12_23	208.8900277584775
Zone_2A_10_23	174.180231365557
Zone_2A_1_23	190.6550329752631
Musq_25_23	174.6290256174422
Musq_27_23	184.7297686955187
Musq_29_23	189.7590676161254
Musq_31_23	173.2491114924726
Musq_19_23	174.6879908622523
Musq_01_23	202.9960244787847
Musq_03_23	210.0537418772624
Musq_05_23	170.6512150510027
Musq_07_23	161.1460188288684
Musq_09_23	148.2486791048274
Musq_11_23	182.2601064285602
Musq_13_23	163.3432448057615
Musq_15_23	162.2646738594312
Musq_17_23	177.8365255284971
Musq_21_23	158.9390828374644
Musq_23_23	169.7284453291415
