Species,2022 Surface,2022 Bottom,2022 All data
Brevoortia tyrannus,3345299,5559585,1
Fundulus heteroclitus,5067961,1466359,1
Clupea harengus,1615357,4523163,1
Brevoortia patronus,3140100,202,1
Microgadus tomcod,1811561,1153340,1
Alosa pseudoharengus,382573,2297590,1
Enchelyopus cimbrius,633,7,1
Reinhardtius hippoglossoides,38,41,1
Sebastes mentella,5,5,1
Phocoena phocoena,0,0,1
Tautogolabrus adspersus,0,0,1
Scomber scombrus,0,0,1
Menidia menidia,0,0,1
Osmerus mordax,0,0,1
Alosa sapidissima,0,0,1
Anguilla rostrata,0,0,1
Ammodytes dubius,0,0,1
Urophycis chuss,0,0,1
