	2B03B	M08B	M08S	M19S	M30B	M30S	M32B	M32S
2B03B	0.0	1.0	0.9945054945054945	1.0	1.0	1.0	1.0	0.5664335664335665
M08B	1.0	0.0	0.6948051948051948	0.6470588235294118	1.0	1.0	1.0	1.0
M08S	0.9945054945054945	0.6948051948051948	0.0	0.7894736842105263	1.0	0.9953051643192489	1.0	0.925764192139738
M19S	1.0	0.6470588235294118	0.7894736842105263	0.0	1.0	1.0	1.0	1.0
M30B	1.0	1.0	1.0	1.0	0.0	0.9809523809523809	0.8	0.9779411764705882
M30S	1.0	1.0	0.9953051643192489	1.0	0.9809523809523809	0.0	0.9813084112149533	0.9914529914529915
M32B	1.0	1.0	1.0	1.0	0.8	0.9813084112149533	0.0	0.9856115107913669
M32S	0.5664335664335665	1.0	0.925764192139738	1.0	0.9779411764705882	0.9914529914529915	0.9856115107913669	0.0
