	2A12B	2A12S	2B03B	2B03S	301B	301S	M08B	M08S	M19S	M20B	M30B	M30S	M32B	M32S
2A12B	0	0.4204883873462677	0.3741731941699982	0.3370197117328644	0.4018528759479523	0.3921569287776947	0.5996480584144592	0.4993614554405212	0.5243428349494934	0.4327772557735443	0.4837802648544312	0.4249544441699982	0.3767096996307373	0.457705557346344
2A12S	0.4204883873462677	0	0.4460917413234711	0.3936251401901245	0.4104525446891785	0.4247373342514038	0.5746055841445923	0.4768330752849579	0.5117397308349609	0.4491732120513916	0.5049184560775757	0.4392572641372681	0.4583440124988556	0.4010003507137299
2B03B	0.3741731941699982	0.4460917413234711	0	0.3932437300682068	0.4499330818653107	0.4326701164245605	0.5398979783058167	0.5151284337043762	0.4842080771923065	0.4756319224834442	0.5156232118606567	0.4603553116321564	0.4542505741119385	0.4104563593864441
2B03S	0.3370197117328644	0.3936251401901245	0.3932437300682068	0	0.4476439356803894	0.3540785014629364	0.5922232270240784	0.4980883300304413	0.5410547256469727	0.43678879737854	0.4862760603427887	0.4452598392963409	0.4017530679702759	0.4450870454311371
301B	0.4018528759479523	0.4104525446891785	0.4499330818653107	0.4476439356803894	0	0.4881407618522644	0.608491063117981	0.4755474627017975	0.5316457152366638	0.4323916435241699	0.4716921448707581	0.4594514071941376	0.4250783920288086	0.4285951852798462
301S	0.3921569287776947	0.4247373342514038	0.4326701164245605	0.3540785014629364	0.4881407618522644	0	0.6219464540481567	0.5399347543716431	0.5561144351959229	0.4807003736495972	0.5182982087135315	0.4748194813728333	0.3980200588703156	0.4944575130939484
M08B	0.5996480584144592	0.5746055841445923	0.5398979783058167	0.5922232270240784	0.608491063117981	0.6219464540481567	0	0.5682493448257446	0.5515651702880859	0.5824761390686035	0.612610936164856	0.6028221845626831	0.6188336610794067	0.5452671647071838
M08S	0.4993614554405212	0.4768330752849579	0.5151284337043762	0.4980883300304413	0.4755474627017975	0.5399347543716431	0.5682493448257446	0	0.507303774356842	0.4586304128170013	0.5523261427879333	0.5275136232376099	0.4856659173965454	0.5111044049263
M19S	0.5243428349494934	0.5117397308349609	0.4842080771923065	0.5410547256469727	0.5316457152366638	0.5561144351959229	0.5515651702880859	0.507303774356842	0	0.4993332922458649	0.524908185005188	0.5029206871986389	0.5785118937492371	0.4723936319351196
M20B	0.4327772557735443	0.4491732120513916	0.4756319224834442	0.43678879737854	0.4323916435241699	0.4807003736495972	0.5824761390686035	0.4586304128170013	0.4993332922458649	0	0.4507957696914673	0.4200408160686493	0.4576515257358551	0.4715555906295776
M30B	0.4837802648544312	0.5049184560775757	0.5156232118606567	0.4862760603427887	0.4716921448707581	0.5182982087135315	0.612610936164856	0.5523261427879333	0.524908185005188	0.4507957696914673	0	0.4305464327335358	0.530974268913269	0.489014208316803
M30S	0.4249544441699982	0.4392572641372681	0.4603553116321564	0.4452598392963409	0.4594514071941376	0.4748194813728333	0.6028221845626831	0.5275136232376099	0.5029206871986389	0.4200408160686493	0.4305464327335358	0	0.4829618632793427	0.4610223174095154
M32B	0.3767096996307373	0.4583440124988556	0.4542505741119385	0.4017530679702759	0.4250783920288086	0.3980200588703156	0.6188336610794067	0.4856659173965454	0.5785118937492371	0.4576515257358551	0.530974268913269	0.4829618632793427	0	0.479179710149765
M32S	0.457705557346344	0.4010003507137299	0.4104563593864441	0.4450870454311371	0.4285951852798462	0.4944575130939484	0.5452671647071838	0.5111044049263	0.4723936319351196	0.4715555906295776	0.489014208316803	0.4610223174095154	0.479179710149765	0
