	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_21_25	0.0	0.5664451827242525	0.5917721518987342	0.5656028368794326	0.6341107871720116	0.6283582089552239	0.6689847009735744	0.6523076923076923	0.6820987654320988	0.7171253822629969	0.7688266199649737	0.5450346420323325	0.6039387308533917	0.634453781512605	0.581888246628131	0.6283333333333333	0.6565143824027073	0.6472727272727272	0.6327345309381237	0.5341365461847389	0.6494661921708185	0.6218181818181818	0.6072144288577155	0.625250501002004	0.6688524590163935
Musq_19_25	0.5664451827242525	0.0	0.4847277556440903	0.48354792560801146	0.5351418002466092	0.5189873417721519	0.5636147443519619	0.5841708542713567	0.6273291925465838	0.6739659367396593	0.7545691906005222	0.5858747993579454	0.6195652173913043	0.655223880597015	0.5570175438596491	0.5641711229946524	0.6140583554376657	0.636986301369863	0.6434782608695652	0.5292353823088456	0.6202185792349727	0.5788732394366197	0.6229985443959243	0.6220588235294118	0.6336760925449871
Musq_17_25	0.5917721518987342	0.4847277556440903	0.0	0.4986187845303867	0.5431654676258992	0.5348837209302325	0.5606060606060606	0.5735475896168108	0.6228710462287105	0.6654719235364397	0.7613636363636364	0.5987654320987654	0.6743849493487699	0.6855524079320113	0.5897079276773296	0.6098484848484849	0.6464646464646465	0.6761658031088082	0.6662049861495845	0.5722379603399433	0.6567357512953368	0.6093959731543624	0.6523545706371191	0.6592489568845619	0.654320987654321
Musq_15_25	0.5656028368794326	0.48354792560801146	0.4986187845303867	0.0	0.5059288537549407	0.4939271255060729	0.5538847117794486	0.5519568151147098	0.5835579514824798	0.6457516339869281	0.7215909090909091	0.6100840336134454	0.6532258064516129	0.6786271450858035	0.5842185128983308	0.6271870794078062	0.6571815718157181	0.6746478873239437	0.6656580937972768	0.5605590062111802	0.6666666666666666	0.5872781065088757	0.6464339908952959	0.6498470948012233	0.667107001321004
Musq_13_25	0.6341107871720116	0.5351418002466092	0.5431654676258992	0.5059288537549407	0.0	0.4921212121212121	0.4970691676436108	0.5227552275522755	0.5709090909090909	0.6257378984651711	0.7182044887780549	0.66991643454039	0.7091152815013405	0.7337662337662337	0.644955300127714	0.674364896073903	0.7063583815028902	0.7166866746698679	0.7182741116751269	0.6136662286465178	0.7064439140811456	0.651307596513076	0.6939820742637645	0.7021822849807445	0.7108843537414966
Musq_11_25	0.6283582089552239	0.5189873417721519	0.5348837209302325	0.4939271255060729	0.4921212121212121	0.0	0.5268065268065268	0.5156838143036386	0.550561797752809	0.5921375921375921	0.7051282051282052	0.6400580551523948	0.7054794520547946	0.725699067909454	0.6436931079323797	0.6611374407582938	0.6877234803337307	0.7040690505548706	0.7049608355091384	0.604306864064603	0.6888068880688807	0.6381074168797954	0.6901960784313725	0.6882430647291942	0.6881594372801876
Musq_09_25	0.6689847009735744	0.5636147443519619	0.5606060606060606	0.5538847117794486	0.4970691676436108	0.5268065268065268	0.0	0.5253623188405797	0.543134872417983	0.5871121718377088	0.7093596059113301	0.7	0.7477707006369426	0.7593516209476309	0.6912832929782082	0.7036625971143174	0.7273743016759776	0.7482758620689656	0.7469586374695864	0.6629353233830846	0.7324913892078071	0.6915776986951364	0.7439613526570048	0.7411477411477412	0.7382769901853872
Musq_07_25	0.6523076923076923	0.5841708542713567	0.5735475896168108	0.5519568151147098	0.5227552275522755	0.5156838143036386	0.5253623188405797	0.0	0.4993288590604027	0.546772068511199	0.6322489391796322	0.6794682422451994	0.7419804741980475	0.7513661202185792	0.6807387862796834	0.7074910820451843	0.7449584816132859	0.7616707616707616	0.7480211081794196	0.6476190476190476	0.7524390243902439	0.6930946291560103	0.7281167108753316	0.7400530503978779	0.7400468384074942
Musq_05_25	0.6820987654320988	0.6273291925465838	0.6228710462287105	0.5835579514824798	0.5709090909090909	0.550561797752809	0.543134872417983	0.4993288590604027	0.0	0.4881118881118881	0.5746606334841629	0.7195301027900147	0.7760778859527121	0.7913279132791328	0.7249022164276402	0.760186263096624	0.7811764705882352	0.7842170160295932	0.7913950456323338	0.6987951807228916	0.7954271961492179	0.7373737373737373	0.7751633986928105	0.7885117493472585	0.7843137254901961
Musq_03_25	0.7171253822629969	0.6739659367396593	0.6654719235364397	0.6457516339869281	0.6257378984651711	0.5921375921375921	0.5871121718377088	0.546772068511199	0.4881118881118881	0.0	0.542319749216301	0.7633477633477633	0.815068493150685	0.8228187919463087	0.7637997432605905	0.7944890929965557	0.8196531791907514	0.8244552058111381	0.8171206225680934	0.745740498034076	0.8205741626794258	0.7839506172839507	0.8087855297157622	0.8173575129533679	0.8233295583238958
