"","diff","lwr","upr","p adj"
"Zone_2A-Zone_1",0.2673078493289,0.0105799040318774,0.524035794625922,0.0393308598875246
"Zone_2B-Zone_1",0.0438107249071917,-0.312470498317884,0.400091948132267,0.985757879482283
"Zone_3-Zone_1",0.0840055066755881,-0.236190497628379,0.404201510979555,0.883441488821987
"Zone_2B-Zone_2A",-0.223497124421708,-0.589911587397605,0.142917338554189,0.348454302893389
"Zone_3-Zone_2A",-0.183302342653312,-0.514736694867117,0.148132009560494,0.431854052900032
"Zone_3-Zone_2B",0.0401947817683964,-0.373176482295411,0.453566045832204,0.992825553549345
