"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_2B vs Zone_3",0.0848999250677765,0.556659937378311,0.744,0.744
"Zone_2B vs Zone_2A",0.151628022409141,1.60855407501495,0.219,0.2628
"Zone_2B vs Zone_1",0.328755978312694,5.38748300856267,0.01,0.02
"Zone_3 vs Zone_2A",0.130611805711808,1.65257576795852,0.197,0.2628
"Zone_3 vs Zone_1",0.389549127666613,8.29573498733616,0.001,0.003
"Zone_2A vs Zone_1",0.31663996271552,7.41371916271316,0.001,0.003
