"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_2A vs Zone_2B",0.142587167812204,1.49669384704142,0.191,0.2865
"Zone_2A vs Zone_3",0.0305902571537421,0.347111044812893,0.898,0.898
"Zone_2A vs Zone_1",0.467748629307932,14.0609841158244,0.002,0.012
"Zone_2B vs Zone_3",0.132188764874031,0.913945979426112,0.397,0.4764
"Zone_2B vs Zone_1",0.343894181346856,5.76558824395252,0.035,0.07
"Zone_3 vs Zone_1",0.41265806284917,9.13361447177163,0.006,0.018
