"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_1 vs Zone_2A",0.251570437275181,5.37809728112363,0.003,0.018
"Zone_1 vs Zone_3",0.283200393759779,4.74108062495007,0.019,0.057
"Zone_1 vs Zone_2B",0.260575841651631,3.87644118170334,0.032,0.064
"Zone_2A vs Zone_3",0.161108297254252,1.92048981682539,0.154,0.1992
"Zone_2A vs Zone_2B",0.114458095339751,1.16326833618674,0.334,0.334
"Zone_3 vs Zone_2B",0.255522054261609,1.71611567356892,0.166,0.1992
