"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_2A vs Zone_1",0.412661212127834,11.2415177243196,0.001,0.006
"Zone_2A vs Zone_3",0.0683016543211245,0.733087641916515,0.585,0.702
"Zone_2A vs Zone_2B",0.0878333351199376,0.866617961952576,0.52,0.702
"Zone_1 vs Zone_3",0.321480636875079,5.68556750500678,0.017,0.051
"Zone_1 vs Zone_2B",0.299793013001152,4.70964044096021,0.04,0.08
"Zone_3 vs Zone_2B",0.109456084754232,0.614546250220711,0.783,0.783
