"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_1 vs Zone_2A",0.357903996499611,8.91839212948834,0.001,0.006
"Zone_1 vs Zone_3",0.623363321770192,19.8609436988452,0.002,0.006
"Zone_1 vs Zone_2B",0.684107128228398,23.8219316830716,0.005,0.01
"Zone_2A vs Zone_3",0.069103480306253,0.742332566985932,0.467,0.467
"Zone_2A vs Zone_2B",0.106789183531219,1.07600874738686,0.324,0.3888
"Zone_3 vs Zone_2B",0.277158502979998,1.91714576516854,0.102,0.153
