"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_2B vs Zone_3",0.223945497925956,1.73141574975044,0.088,0.1128
"Zone_2B vs Zone_2A",0.167942116724219,1.81655517109859,0.121,0.121
"Zone_2B vs Zone_1",0.479691712236035,10.1413122925117,0.007,0.014
"Zone_3 vs Zone_2A",0.19647696525488,2.68971333035802,0.094,0.1128
"Zone_3 vs Zone_1",0.563278000890922,16.7672203976907,0.001,0.003
"Zone_2A vs Zone_1",0.333968707193065,8.02289527954356,0.001,0.003
