"Comparison","R2","F_value","p_value","p_adj_BH"
"Zone_2B vs Zone_1",0.232887991659593,3.33949655383147,0.018,0.027
"Zone_2B vs Zone_2A",0.047839288459543,0.150728615074275,0.8,0.8
"Zone_1 vs Zone_2A",0.370555298676103,5.88701911219082,0.014,0.027
