	observed_features
Musq_21_25	301
Musq_19_25	555
Musq_17_25	573
Musq_15_25	507
Musq_13_25	637
Musq_11_25	618
Musq_09_25	652
Musq_07_25	580
Musq_05_25	535
Musq_03_25	527
Musq_01_25	401
Musq_23_25	320
Musq_25_25	325
Zone_3_1_25	352
Zone_3_3_25	424
Musq_31_25	527
Zone_3_2_25	485
Musq_29_25	436
Zone_2A_10_25	384
Zone_2A_1_25	417
Musq_27_25	450
Zone_2A_12_25	462
Zone_2B_1_25	383
Zone_2B_3_25	389
Zone_2B_2_25	496
