	observed_features
Zone_2B_1_22	21
Zone_2B_2_22	92
Zone_2B_3_22	63
Musq_01_22	131
Musq_02_22	162
Musq_04_22	37
Musq_06_22	177
Musq_07_22	115
Musq_08_22	81
Musq_11_22	85
Musq_15_22	91
Musq_16_22	106
Musq_19_22	115
Musq_26_22	76
Musq_28_22	5
