	observed_features
Zone_2A_1_22	1828
Zone_2A_10_22	2069
Zone_2A_12_22	1910
Zone_2B_1_22	2102
Zone_2B_2_22	2104
Zone_2B_3_22	1867
Zone_3_1_22	1850
Zone_3_2_22	1838
Zone_3_3_22	1889
Musq_01_22	1121
Musq_02_22	1329
Musq_04_22	1622
Musq_06_22	2343
Musq_07_22	2223
Musq_08_22	1641
Musq_11_22	2069
Musq_15_22	2166
Musq_16_22	2356
Musq_19_22	2097
Musq_20_22	2057
Musq_22_22	1848
Musq_24_22	2001
Musq_26_22	2293
Musq_28_22	1836
Musq_30_22	1926
Musq_32_22	1810
