#SampleID	faith_pd
Musq_19_24	9.697540118135649
Musq_21_24	13.07337710417916
Musq_23_24	11.46066185921838
Musq_25_24	11.30241381964789
Musq_27_24	12.99323017318463
Musq_29_24	10.85113687429308
Musq_31_24	11.46473954322948
Zone_2B_1_24	13.17491867857828
Zone_2B_2_24	12.89558274627296
Zone_2B_3_24	10.8923913988614
Zone_3_1_24	13.26040088431109
Zone_3_3_24	12.49045582456218
Zone_3_2_24	13.4637961120624
Zone_2A_12_24	13.21649391456839
Zone_2A_10_24	9.32495088886458
Zone_2A_1_24	8.527436013980349
Musq_01_24	12.28083444817654
Musq_03_24	9.984415361128729
Musq_05_24	13.18526343394796
Musq_07_24	11.95952740959807
Musq_09_24	12.958716425623
Musq_11_24	11.85589954474882
Musq_13_24	13.04844292901451
Musq_15_24	11.70869012374345
Musq_17_24	11.00030755367423
