	observed_features
Zone_2B_2_23	2192
Zone_2B_3_23	2092
Zone_2B_1_23	2009
Zone_3_1_23	2008
Zone_3_4_23	1909
Zone_3_3_23	2077
Zone_3_2_23	1876
Zone_2A_12_23	1887
Zone_2A_10_23	1870
Zone_2A_1_23	1920
Musq_25_23	1850
Musq_27_23	1851
Musq_29_23	1784
Musq_31_23	1704
Musq_19_23	1931
Musq_01_23	1229
Musq_03_23	1388
Musq_05_23	1270
Musq_07_23	1332
Musq_09_23	1352
Musq_11_23	1532
Musq_13_23	1584
Musq_15_23	1634
Musq_17_23	1698
Musq_21_23	1809
Musq_23_23	1874
