#SampleID	faith_pd
Zone_2A_1_22	176.6965245881195
Zone_2A_10_22	249.4129994406382
Zone_2A_12_22	190.8986952870148
Zone_2B_1_22	234.4237401565534
Zone_2B_2_22	218.7945147913641
Zone_2B_3_22	175.0587951632587
Zone_3_1_22	174.5045858343912
Zone_3_2_22	188.129700984137
Zone_3_3_22	178.3084036191684
Musq_01_22	150.1253833584269
Musq_02_22	181.6752204114898
Musq_04_22	181.4758042892378
Musq_06_22	264.6055955129794
Musq_07_22	265.4259271226035
Musq_08_22	163.8755642757395
Musq_11_22	244.3435898139481
Musq_15_22	249.167367732894
Musq_16_22	270.5481580365623
Musq_19_22	239.0461176272676
Musq_20_22	207.9380379709259
Musq_22_22	159.2579141115656
Musq_24_22	218.5165802409438
Musq_26_22	252.9856697283939
Musq_28_22	193.2173931167297
Musq_30_22	206.9517896557688
Musq_32_22	170.2992605755496
