	observed_features
Musq_19_24	48
Musq_21_24	96
Musq_23_24	66
Musq_25_24	81
Musq_27_24	102
Musq_29_24	72
Musq_31_24	71
Zone_2B_1_24	98
Zone_2B_2_24	99
Zone_2B_3_24	75
Zone_3_1_24	89
Zone_3_3_24	75
Zone_3_2_24	105
Zone_2A_12_24	98
Zone_2A_10_24	58
Zone_2A_1_24	66
Musq_01_24	75
Musq_03_24	66
Musq_05_24	89
Musq_07_24	64
Musq_09_24	103
Musq_11_24	68
Musq_13_24	93
Musq_15_24	82
Musq_17_24	69
