	shannon_entropy
Musq_21_25	4.1219328950826855
Musq_19_25	4.900616357210882
Musq_17_25	5.167411456445992
Musq_15_25	4.995186753427575
Musq_13_25	5.451344665453524
Musq_11_25	5.429598620883098
Musq_09_25	5.554939935459754
Musq_07_25	5.841746460812375
Musq_05_25	5.963357305413824
Musq_03_25	6.237486926936325
Musq_01_25	6.257530537787368
Musq_23_25	4.166933247210314
Musq_25_25	3.9023478603464397
Zone_3_1_25	4.068356089136684
Zone_3_3_25	4.31932365082892
Musq_31_25	4.853527779670437
Zone_3_2_25	4.726687072959001
Musq_29_25	4.3944004111838435
Zone_2A_10_25	4.196617779733328
Zone_2A_1_25	4.669261597509499
Musq_27_25	4.373974134393295
Zone_2A_12_25	4.594980108954015
Zone_2B_1_25	4.298374810240121
Zone_2B_3_25	4.26362559468909
Zone_2B_2_25	4.596608434086014
