,Faith's PD,Year
Zone_2A_1_22,176.6965246,2022
Zone_2A_10_22,249.4129994,2022
Zone_2A_12_22,190.8986953,2022
Zone_2B_1_22,234.4237402,2022
Zone_2B_2_22,218.7945148,2022
Zone_2B_3_22,175.0587952,2022
Zone_3_1_22,174.5045858,2022
Zone_3_2_22,188.129701,2022
Zone_3_3_22,178.3084036,2022
Musq_01_22,150.1253834,2022
Musq_02_22,181.6752204,2022
Musq_04_22,181.4758043,2022
Musq_06_22,264.6055955,2022
Musq_07_22,265.4259271,2022
Musq_08_22,163.8755643,2022
Musq_11_22,244.3435898,2022
Musq_15_22,249.1673677,2022
Musq_16_22,270.548158,2022
Musq_19_22,239.0461176,2022
Musq_20_22,207.938038,2022
Musq_22_22,159.2579141,2022
Musq_24_22,218.5165802,2022
Musq_26_22,252.9856697,2022
Musq_28_22,193.2173931,2022
Musq_30_22,206.9517897,2022
Musq_32_22,170.2992606,2022
Zone_2B_2_23,237.037343,2023
Zone_2B_3_23,237.4799552,2023
Zone_2B_1_23,216.620296,2023
Zone_3_1_23,217.9400017,2023
Zone_3_4_23,200.0404677,2023
Zone_3_3_23,224.5325282,2023
Zone_3_2_23,174.2989149,2023
Zone_2A_12_23,208.8900278,2023
Zone_2A_10_23,174.1802314,2023
Zone_2A_1_23,190.655033,2023
Musq_25_23,174.6290256,2023
Musq_27_23,184.7297687,2023
Musq_29_23,189.7590676,2023
Musq_31_23,173.2491115,2023
Musq_19_23,174.6879909,2023
Musq_01_23,202.9960245,2023
Musq_03_23,210.0537419,2023
Musq_05_23,170.6512151,2023
Musq_07_23,161.1460188,2023
Musq_09_23,148.2486791,2023
Musq_11_23,182.2601064,2023
Musq_13_23,163.3432448,2023
Musq_15_23,162.2646739,2023
Musq_17_23,177.8365255,2023
Musq_21_23,158.9390828,2023
Musq_23_23,169.7284453,2023
Musq_19_24,76.43317269,2024
Musq_21_24,75.86004089,2024
Musq_23_24,74.51047175,2024
Musq_25_24,74.87920425,2024
Musq_27_24,74.30744536,2024
Musq_29_24,72.40730714,2024
Musq_31_24,65.40118048,2024
Zone_2B_1_24,75.59675934,2024
Zone_2B_2_24,75.99869028,2024
Zone_2B_3_24,72.41541936,2024
Zone_3_1_24,76.75057684,2024
Zone_3_3_24,85.0464293,2024
Zone_3_2_24,67.85722667,2024
Zone_2A_12_24,81.63629456,2024
Zone_2A_10_24,68.99884492,2024
Zone_2A_1_24,77.87787462,2024
Musq_01_24,116.4868816,2024
Musq_03_24,81.36868768,2024
Musq_05_24,85.39560014,2024
Musq_07_24,69.30688967,2024
Musq_09_24,85.52490038,2024
Musq_11_24,108.0550227,2024
Musq_13_24,115.7779775,2024
Musq_15_24,134.2603366,2024
Musq_17_24,110.8875903,2024
