#SampleID	faith_pd
Zone_2B_2_23	20.82491984860345
Zone_2B_3_23	19.34129093843936
Zone_2B_1_23	20.76293268325368
Zone_3_1_23	30.4209572065685
Zone_3_4_23	22.92786789738994
Zone_3_3_23	18.74573360809126
Zone_3_2_23	18.20424709228384
Zone_2A_12_23	19.93291628113281
Zone_2A_10_23	21.12701550797233
Zone_2A_1_23	22.400074265005
Musq_25_23	22.54582291400304
Musq_27_23	25.58336373226093
Musq_29_23	25.31350982685822
Musq_31_23	22.30060077242923
Musq_19_23	31.41868077583669
Musq_01_23	15.19661246642318
Musq_03_23	21.72803599436386
Musq_05_23	33.3269241659574
Musq_07_23	26.69089994795591
Musq_09_23	29.22185577021571
Musq_11_23	28.69808818505103
Musq_13_23	41.85720558547671
Musq_15_23	35.28210517790004
Musq_17_23	31.75120709513694
Musq_21_23	22.95606911215436
Musq_23_23	23.58280382406265
