	2B03B	M08B	M08S	M19S	M30B	M30S	M32B	M32S
2B03B	0	0.2842699289321899	0.1626421511173248	0.3190427720546722	0.525679886341095	0.05128733813762665	0.523584246635437	0.00908934697508812
M08B	0.2842699289321899	0	0.17753005027771	0.1549082547426224	0.5633624196052551	0.3041617870330811	0.5612612366676331	0.283740222454071
M08S	0.1626421511173248	0.17753005027771	0	0.2121123075485229	0.5346408486366272	0.1820788681507111	0.5325395464897156	0.154488742351532
M19S	0.3190427720546722	0.1549082547426224	0.2121123075485229	0	0.5979192852973938	0.3387184739112854	0.5958179235458374	0.3182969391345978
M30B	0.525679886341095	0.5633624196052551	0.5346408486366272	0.5979192852973938	0	0.514359712600708	0.007124871015548706	0.5246171355247498
M30S	0.05128733813762665	0.3041617870330811	0.1820788681507111	0.3387184739112854	0.514359712600708	0	0.5130887031555176	0.05448152869939804
M32B	0.523584246635437	0.5612612366676331	0.5325395464897156	0.5958179235458374	0.007124871015548706	0.5130887031555176	0	0.5225270986557007
M32S	0.00908934697508812	0.283740222454071	0.154488742351532	0.3182969391345978	0.5246171355247498	0.05448152869939804	0.5225270986557007	0
