	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_26_22	Musq_28_22	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_15_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9025	0.8898	0.9168	0.917	0.9368	0.9387	0.9305	0.9408	0.9399	0.94	0.7224	0.7731	0.9369	0.9433	0.5854	0.6614	0.9242	0.6019	0.4415	0.3568	0.4352	0.4074	0.607	0.3679	0.4962	0.3468	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6381	0.4511	0.4193	0.0	0.4299	0.3024	0.3382	0.3411	0.3698	0.3695	0.4459	0.8068	0.9061	0.9581	0.9158	0.6586	0.907	0.9075	0.9676	0.653	0.9537	0.9127	0.9146	0.9144	0.916
Musq_13_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9031	0.8894	0.9376	0.9379	0.9369	0.9393	0.9312	0.9369	0.9372	0.8179	0.7442	0.8917	0.9375	0.8375	0.6238	0.7781	0.9285	0.7661	0.54	0.2654	0.4465	0.3326	0.5294	0.3041	0.2526	0.4412	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6849	0.3495	0.5699	0.4299	0.0	0.2368	0.1555	0.1645	0.1643	0.3469	0.2222	0.8164	0.9319	0.9827	0.9367	0.8033	0.9321	0.9324	0.9928	0.7024	0.98	0.8425	0.9363	0.935	0.8715
Musq_11_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7954	0.7817	0.8282	0.8284	0.8292	0.8316	0.8234	0.8296	0.8288	0.7702	0.6338	0.7311	0.8298	0.7736	0.4692	0.7177	0.9281	0.7563	0.5303	0.3791	0.3473	0.2762	0.4392	0.2151	0.2444	0.2716	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7316	0.3628	0.4063	0.3024	0.2368	0.0	0.2103	0.3025	0.2779	0.3919	0.3874	0.7024	0.8406	0.9802	0.9112	0.6843	0.8223	0.8223	0.9903	0.6213	0.9772	0.8486	0.8262	0.8267	0.7684
Musq_09_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8839	0.8702	0.9189	0.9191	0.9177	0.9201	0.912	0.9182	0.9185	0.9006	0.7245	0.8652	0.9183	0.904	0.5856	0.7453	0.9281	0.7152	0.4891	0.2153	0.4373	0.3651	0.5696	0.3042	0.325	0.3898	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7332	0.3294	0.5245	0.3382	0.1555	0.2103	0.0	0.2069	0.2147	0.2948	0.2211	0.8672	0.9121	0.9827	0.9186	0.7331	0.9129	0.9133	0.9923	0.6539	0.9797	0.8994	0.9172	0.9162	0.9013
Musq_07_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	0.9503	0.9669	0.9671	0.9632	0.9659	0.9574	0.9667	0.9667	0.8552	0.7738	0.9674	0.9641	0.8673	0.6498	0.7749	0.9251	0.6075	0.4395	0.1357	0.3834	0.296	0.5558	0.3051	0.2787	0.5082	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.558	0.3457	0.4367	0.3411	0.1645	0.3025	0.2069	0.0	0.0899	0.1864	0.222	0.8533	0.9582	0.982	0.9658	0.7085	0.9579	0.9581	0.992	0.7019	0.9774	0.8716	0.9649	0.9642	0.9008
Musq_05_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9064	0.9276	0.9413	0.9414	0.9401	0.9428	0.9347	0.9401	0.9409	0.7915	0.748	0.9413	0.941	0.8407	0.628	0.7784	0.9285	0.6597	0.4411	0.222	0.3606	0.2471	0.5326	0.2737	0.258	0.4875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5453	0.366	0.466	0.3698	0.1643	0.2779	0.2147	0.0899	0.0	0.2409	0.2595	0.7653	0.9368	0.9837	0.9405	0.6995	0.9361	0.9366	0.9937	0.6763	0.9812	0.8467	0.9398	0.9386	0.8753
Musq_03_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9616	0.9825	0.9963	0.9966	0.9961	0.998	0.9898	0.9958	0.9964	0.9953	0.8033	0.9966	0.9962	0.9984	0.7134	0.7798	0.9306	0.537	0.4511	0.1679	0.4932	0.4361	0.6644	0.4454	0.421	0.5412	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5163	0.4068	0.4431	0.3695	0.3469	0.3919	0.2948	0.1864	0.2409	0.0	0.2688	0.9946	0.9921	0.9864	0.9959	0.7391	0.9913	0.9921	0.9952	0.7328	0.988	0.9934	0.9957	0.9942	0.9963
Musq_01_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.931	0.9782	0.9927	0.9929	0.9858	0.953	0.9724	0.9943	0.9935	0.9934	0.7994	0.9953	0.988	0.9967	0.7046	0.7747	0.8928	0.6865	0.4697	0.1693	0.4727	0.4343	0.6362	0.4433	0.4145	0.5167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7585	0.333	0.579	0.4459	0.2222	0.3874	0.2211	0.222	0.2595	0.2688	0.0	0.9901	0.9466	0.982	0.992	0.7811	0.9634	0.9442	0.9907	0.7286	0.9819	0.989	0.9909	0.99	0.9919
Musq_23_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7836	0.7838	0.6281	0.7409	0.7829	0.7852	0.7818	0.7828	0.782	0.634	0.6807	0.784	0.7834	0.6834	0.5941	0.8895	0.9929	0.9897	0.9857	0.9536	0.6668	0.6709	0.7061	0.6614	0.7641	0.6096	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7787	0.8387	0.6139	0.8068	0.8164	0.7024	0.8672	0.8533	0.7653	0.9946	0.9901	0.0	0.5623	0.7066	0.6308	0.4014	0.4988	0.5308	0.7104	0.5818	0.7031	0.5054	0.4415	0.5459	0.3575
Musq_25_25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8175	0.8431	0.6926	0.8055	0.8392	0.8084	0.829	0.8475	0.8467	0.8467	0.7435	0.8479	0.8411	0.7543	0.7803	0.9872	0.9544	0.9805	0.9817	0.9484	0.8128	0.845	0.8184	0.8434	0.8692	0.7566	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.907	0.9311	0.7993	0.9061	0.9319	0.8406	0.9121	0.9582	0.9368	0.9921	0.9466	0.5623	0.0	0.3471	0.2729	0.47	0.3894	0.5524	0.351	0.2607	0.2024	0.2775	0.248	0.2045	0.3416
