	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_26_22	Musq_28_22	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_15_23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5652173913043478	0.7083333333333334	0.7083333333333334	0.6086956521739131	0.631578947368421	0.5909090909090909	0.55	0.6086956521739131	0.6363636363636364	0.5238095238095238	0.6296296296296297	0.6956521739130435	0.55	0.7083333333333334	0.5517241379310345	0.6666666666666666	0.5925925925925926	0.5	0.56	0.6086956521739131	0.5416666666666666	0.5	0.0	0.5769230769230769	0.4166666666666667	0.5769230769230769	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6818181818181818	0.72	0.6666666666666666	0.7307692307692307	0.6521739130434783	0.64	0.6923076923076923	0.6521739130434783	0.6666666666666666	0.6818181818181818	0.6521739130434783	0.7083333333333334	0.7083333333333334	0.75	0.6818181818181818	0.7083333333333334	0.6666666666666666	0.72	0.7272727272727273	0.6818181818181818	0.7692307692307693	0.7083333333333334	0.7083333333333334	0.6956521739130435	0.7931034482758621
Musq_17_23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6086956521739131	0.6363636363636364	0.6363636363636364	0.5909090909090909	0.6842105263157895	0.6363636363636364	0.6	0.5909090909090909	0.55	0.5714285714285714	0.56	0.6190476190476191	0.5263157894736842	0.6956521739130435	0.5357142857142857	0.7352941176470589	0.7241379310344828	0.6428571428571429	0.6	0.6521739130434783	0.64	0.4090909090909091	0.5769230769230769	0.0	0.52	0.56	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.7083333333333334	0.6521739130434783	0.6086956521739131	0.5714285714285714	0.625	0.5652173913043478	0.5714285714285714	0.6521739130434783	0.6	0.5714285714285714	0.6956521739130435	0.6363636363636364	0.6818181818181818	0.7272727272727273	0.6956521739130435	0.65	0.6521739130434783	0.65	0.6666666666666666	0.7083333333333334	0.6363636363636364	0.6956521739130435	0.6818181818181818	0.64
Musq_21_23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.625	0.7083333333333334	0.7083333333333334	0.5454545454545454	0.631578947368421	0.5909090909090909	0.55	0.6086956521739131	0.5714285714285714	0.45	0.5769230769230769	0.6956521739130435	0.47368421052631576	0.7083333333333334	0.38461538461538464	0.625	0.6428571428571429	0.5555555555555556	0.5	0.47619047619047616	0.6	0.36363636363636365	0.4166666666666667	0.52	0.0	0.52	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6818181818181818	0.6666666666666666	0.6666666666666666	0.68	0.6521739130434783	0.5833333333333334	0.64	0.5909090909090909	0.6666666666666666	0.6190476190476191	0.6521739130434783	0.6521739130434783	0.6521739130434783	0.75	0.6818181818181818	0.7083333333333334	0.6666666666666666	0.72	0.6666666666666666	0.6818181818181818	0.72	0.7083333333333334	0.7083333333333334	0.6956521739130435	0.75
Musq_23_23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.6363636363636364	0.5	0.5238095238095238	0.6842105263157895	0.6363636363636364	0.6	0.7083333333333334	0.6190476190476191	0.5714285714285714	0.5	0.6818181818181818	0.5263157894736842	0.75	0.48148148148148145	0.7714285714285715	0.7666666666666667	0.6896551724137931	0.6538461538461539	0.5909090909090909	0.5833333333333334	0.6	0.5769230769230769	0.56	0.52	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.7083333333333334	0.5909090909090909	0.6666666666666666	0.5714285714285714	0.5	0.625	0.5714285714285714	0.6521739130434783	0.6	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.6818181818181818	0.6666666666666666	0.6363636363636364	0.5789473684210527	0.6521739130434783	0.5789473684210527	0.6	0.6521739130434783	0.6363636363636364	0.6956521739130435	0.6190476190476191	0.6923076923076923
Musq_19_24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.6730769230769231	0.6049382716049383	0.6222222222222222	0.6814159292035398	0.6309523809523809	0.6049382716049383	0.6818181818181818	0.6435643564356436	0.6395348837209303	0.6344086021505376	0.6162790697674418	0.7094017094017094	0.7181818181818181	0.5294117647058824	0.5789473684210527	0.7684210526315789	0.7333333333333333	0.696078431372549	0.6052631578947368	0.6981132075471698	0.569620253164557	0.6631578947368421	0.625	0.5769230769230769	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_21_24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6730769230769231	0.0	0.42857142857142855	0.4827586206896552	0.48872180451127817	0.4954954954954955	0.5775862068965517	0.5075757575757576	0.45081967213114754	0.5431034482758621	0.5564516129032258	0.575	0.5073529411764706	0.43089430894308944	0.5242718446601942	0.49056603773584906	0.7664233576642335	0.7131782945736435	0.6296296296296297	0.6260869565217392	0.5384615384615384	0.5526315789473685	0.6124031007751938	0.4824561403508772	0.4766355140186916	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_23_24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6049382716049383	0.42857142857142855	0.0	0.47474747474747475	0.49572649572649574	0.43956043956043955	0.4782608695652174	0.5172413793103449	0.4230769230769231	0.5154639175257731	0.4752475247524752	0.5102040816326531	0.47863247863247865	0.4727272727272727	0.5058823529411764	0.43023255813953487	0.7368421052631579	0.6944444444444444	0.6440677966101694	0.5851063829787234	0.5897435897435898	0.5567010309278351	0.6371681415929203	0.52	0.5161290322580645	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_25_24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6222222222222222	0.4827586206896552	0.47474747474747475	0.0	0.49193548387096775	0.48514851485148514	0.49	0.5241935483870968	0.4782608695652174	0.5648148148148148	0.48623853211009177	0.5596330275229358	0.5	0.4957983193277311	0.5319148936170213	0.44680851063829785	0.7890625	0.743801652892562	0.6640625	0.6542056074766355	0.5691056910569106	0.5196078431372549	0.5775862068965517	0.5412844036697247	0.4639175257731959	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_27_24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6814159292035398	0.48872180451127817	0.49572649572649574	0.49193548387096775	0.0	0.5289256198347108	0.5333333333333333	0.47058823529411764	0.4251968503937008	0.5365853658536586	0.46774193548387094	0.5555555555555556	0.4264705882352941	0.5217391304347826	0.5826086956521739	0.5384615384615384	0.8	0.7793103448275862	0.6933333333333334	0.689922480620155	0.5642857142857143	0.592	0.6029411764705882	0.5396825396825397	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_29_24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6309523809523809	0.4954954954954955	0.43956043956043955	0.48514851485148514	0.5289256198347108	0.0	0.43956043956043955	0.5128205128205128	0.4339622641509434	0.5252525252525253	0.47058823529411764	0.4742268041237113	0.48739495798319327	0.5470085470085471	0.4823529411764706	0.4606741573033708	0.8130081300813008	0.788135593220339	0.6829268292682927	0.6633663366336634	0.6422764227642277	0.6213592233009708	0.6666666666666666	0.5714285714285714	0.5416666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
