	shannon_entropy
Zone_2B_2_23	2.838118013355091
Zone_2B_3_23	2.626919420288956
Zone_2B_1_23	3.517758305631033
Zone_3_1_23	6.208943912907506
Zone_3_4_23	6.031432954497898
Zone_3_3_23	2.554673424489866
Zone_3_2_23	2.7152269568715126
Zone_2A_12_23	3.6250331937829814
Zone_2A_10_23	3.100668606654713
Zone_2A_1_23	3.5429782511673436
Musq_25_23	3.227952207271992
Musq_27_23	6.3285988935989606
Musq_29_23	5.05397688189886
Musq_31_23	3.79207238183755
Musq_19_23	4.155737665994062
Musq_01_23	2.766042680575667
Musq_03_23	3.1517880819316346
Musq_05_23	6.107219116627286
Musq_07_23	6.039275067950389
Musq_09_23	3.4444110792036575
Musq_11_23	3.842497719691132
Musq_13_23	7.119945207336375
Musq_15_23	4.822421305420809
Musq_17_23	4.466355887705914
Musq_21_23	3.7331170177410264
Musq_23_23	3.483223499122522
