#SampleID	faith_pd
Zone_2B_1_22	3.833961350073093
Zone_2B_2_22	4.119515063905833
Zone_2B_3_22	1.190192061260047
Musq_01_22	5.146513866369656
Musq_02_22	3.800055903444635
Musq_04_22	4.799231036660446
Musq_06_22	7.462081741327406
Musq_07_22	4.031898703429249
Musq_08_22	1.324400685055561
Musq_11_22	2.761259330798943
Musq_15_22	3.734060692602613
Musq_16_22	4.454058879605132
Musq_19_22	2.443790589021217
Musq_26_22	3.987425803235813
Musq_28_22	3.293078102342405
Zone_2B_2_23	2.931531935884664
Zone_2B_3_23	3.0662127431016
Zone_2B_1_23	2.495562365678664
Zone_3_1_23	2.277379339607558
Zone_3_4_23	1.950084588786386
Zone_3_3_23	2.727963781101113
Zone_3_2_23	2.166717784649688
Zone_2A_12_23	2.132470386809191
Zone_2A_10_23	2.040570062579732
Zone_2A_1_23	2.3570848748439
Musq_25_23	2.56720173905313
Musq_27_23	1.636791140720088
Musq_29_23	2.234520377831986
Musq_31_23	2.294831674937544
Musq_19_23	3.34021873142832
Musq_01_23	3.518845223885631
Musq_03_23	3.497912862329807
Musq_05_23	3.726929176826872
Musq_07_23	3.523863149455297
Musq_09_23	2.647531172423481
Musq_11_23	2.769016430145132
Musq_13_23	3.064255792391092
Musq_15_23	3.011656949306266
Musq_17_23	2.91351730673778
Musq_21_23	2.587964315099341
Musq_23_23	2.773127081823975
Musq_19_24	7.275998848948156
Musq_21_24	10.71382468119712
Musq_23_24	9.550278579247284
Musq_25_24	9.416106139630212
Musq_27_24	10.8062577317609
Musq_29_24	9.63220326181662
Musq_31_24	8.893251489873503
Zone_2B_1_24	11.15937299913084
Zone_2B_2_24	9.943723055305259
Zone_2B_3_24	8.936593446020218
Zone_3_1_24	9.780933341525358
Zone_3_3_24	10.14178095268573
Zone_3_2_24	11.6644206728739
Zone_2A_12_24	11.07923378110348
Zone_2A_10_24	7.361772568598706
Zone_2A_1_24	7.449963491775652
Musq_01_24	8.737835788582354
Musq_03_24	7.943468722468486
Musq_05_24	10.59504307249935
Musq_07_24	9.023339301066841
Musq_09_24	9.687031425893075
Musq_11_24	9.75707913755593
Musq_13_24	9.725657885469325
Musq_15_24	8.917224223411193
Musq_17_24	8.749722794802688
Musq_21_25	2.236569977628184
Musq_19_25	2.324206076157042
Musq_17_25	2.310399586345961
Musq_15_25	2.387575496745502
Musq_13_25	1.682678667541981
Musq_11_25	2.404816477853918
Musq_09_25	3.077278667849843
Musq_07_25	2.209866564777797
Musq_05_25	2.53469485802098
Musq_03_25	2.201459663753218
Musq_01_25	2.394444127842452
Musq_23_25	2.09862554847298
Musq_25_25	2.215253648009473
Zone_3_1_25	2.333144527518605
Zone_3_3_25	2.140766705834903
Musq_31_25	2.779959736762013
Zone_3_2_25	2.128320640867241
Musq_29_25	2.342801268981011
Zone_2A_10_25	2.196109849053731
Zone_2A_1_25	2.13368961673469
Musq_27_25	3.090256135370062
Zone_2A_12_25	2.234654491604478
Zone_2B_1_25	2.244474175879935
Zone_2B_3_25	3.008620128284801
Zone_2B_2_25	2.715206399243101
