	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_26_22	Musq_28_22
Zone_2B_1_22	0	0.8121416568756104	0.8859646916389465	0.9215167760848999	0.8257515430450439	0.9063727259635925	0.6731358766555786	0.7936790585517883	0.9140650033950806	0.7775033712387085	0.4647892415523529	0.7574352622032166	0.4876971542835236	0.4959441721439362	0.461191862821579
Zone_2B_2_22	0.8121416568756104	0	0.7161301374435425	0.8699454069137573	0.8996208310127258	0.8099349141120911	0.9162635207176208	0.9398699402809143	0.8391612768173218	0.871081531047821	0.8899486064910889	0.9324912428855896	0.8943267464637756	0.871481716632843	0.9105507135391235
Zone_2B_3_22	0.8859646916389465	0.7161301374435425	0	0.8649373054504395	0.922143280506134	0.7698743343353271	0.8601737022399902	0.9436021447181702	0.811374306678772	0.8724894523620605	0.9142749905586243	0.9483878016471863	0.9178448915481567	0.7813090682029724	0.9144059419631958
Musq_01_22	0.9215167760848999	0.8699454069137573	0.8649373054504395	0	0.8663823008537292	0.6584572196006775	0.8850638866424561	0.8101361989974976	0.4969407021999359	0.4993295967578888	0.8101767897605896	0.8499667048454285	0.7856988310813904	0.9294224977493286	0.9217054843902588
Musq_02_22	0.8257515430450439	0.8996208310127258	0.922143280506134	0.8663823008537292	0	0.8250254392623901	0.8900671005249023	0.8759368062019348	0.9106531143188477	0.7845363020896912	0.7285916209220886	0.9264410138130188	0.7332480549812317	0.8542118072509766	0.8385019898414612
Musq_04_22	0.9063727259635925	0.8099349141120911	0.7698743343353271	0.6584572196006775	0.8250254392623901	0	0.9422779083251953	0.9318432211875916	0.7274709343910217	0.8310413956642151	0.8925017714500427	0.9379938244819641	0.8974483013153076	0.9181100726127625	0.9056568741798401
Musq_06_22	0.6731358766555786	0.9162635207176208	0.8601737022399902	0.8850638866424561	0.8900671005249023	0.9422779083251953	0	0.7366545796394348	0.8760046362876892	0.793648898601532	0.6419859528541565	0.5658257603645325	0.6403859853744507	0.6064084768295288	0.6032946109771729
Musq_07_22	0.7936790585517883	0.9398699402809143	0.9436021447181702	0.8101361989974976	0.8759368062019348	0.9318432211875916	0.7366545796394348	0	0.8150706887245178	0.6960999369621277	0.7115354537963867	0.6718425154685974	0.6967407464981079	0.8078364133834839	0.6290939450263977
Musq_08_22	0.9140650033950806	0.8391612768173218	0.811374306678772	0.4969407021999359	0.9106531143188477	0.7274709343910217	0.8760046362876892	0.8150706887245178	0	0.5061094760894775	0.776217520236969	0.8370782732963562	0.7576987743377686	0.9240558743476868	0.9138569235801697
Musq_11_22	0.7775033712387085	0.871081531047821	0.8724894523620605	0.4993295967578888	0.7845363020896912	0.8310413956642151	0.793648898601532	0.6960999369621277	0.5061094760894775	0	0.6312423944473267	0.8371807932853699	0.6202446222305298	0.8019267320632935	0.7699214816093445
Musq_15_22	0.4647892415523529	0.8899486064910889	0.9142749905586243	0.8101767897605896	0.7285916209220886	0.8925017714500427	0.6419859528541565	0.7115354537963867	0.776217520236969	0.6312423944473267	0	0.6629142165184021	0.1893961280584335	0.5562707185745239	0.47044637799263
Musq_16_22	0.7574352622032166	0.9324912428855896	0.9483878016471863	0.8499667048454285	0.9264410138130188	0.9379938244819641	0.5658257603645325	0.6718425154685974	0.8370782732963562	0.8371807932853699	0.6629142165184021	0	0.6584601402282715	0.7921888828277588	0.6949974894523621
Musq_19_22	0.4876971542835236	0.8943267464637756	0.9178448915481567	0.7856988310813904	0.7332480549812317	0.8974483013153076	0.6403859853744507	0.6967407464981079	0.7576987743377686	0.6202446222305298	0.1893961280584335	0.6584601402282715	0	0.5651236176490784	0.4938603341579437
Musq_26_22	0.4959441721439362	0.871481716632843	0.7813090682029724	0.9294224977493286	0.8542118072509766	0.9181100726127625	0.6064084768295288	0.8078364133834839	0.9240558743476868	0.8019267320632935	0.5562707185745239	0.7921888828277588	0.5651236176490784	0	0.5336506366729736
Musq_28_22	0.461191862821579	0.9105507135391235	0.9144059419631958	0.9217054843902588	0.8385019898414612	0.9056568741798401	0.6032946109771729	0.6290939450263977	0.9138569235801697	0.7699214816093445	0.47044637799263	0.6949974894523621	0.4938603341579437	0.5336506366729736	0
