	observed_features
Zone_2B_2_23	293
Zone_2B_3_23	284
Zone_2B_1_23	363
Zone_3_1_23	399
Zone_3_4_23	301
Zone_3_3_23	261
Zone_3_2_23	276
Zone_2A_12_23	258
Zone_2A_10_23	276
Zone_2A_1_23	331
Musq_25_23	284
Musq_27_23	325
Musq_29_23	338
Musq_31_23	244
Musq_19_23	463
Musq_01_23	221
Musq_03_23	296
Musq_05_23	379
Musq_07_23	358
Musq_09_23	390
Musq_11_23	467
Musq_13_23	652
Musq_15_23	519
Musq_17_23	466
Musq_21_23	392
Musq_23_23	416
