	shannon_entropy
Zone_2B_2_23	1.1996013411178266
Zone_2B_3_23	0.731854501945162
Zone_2B_1_23	1.4544488929270833
Zone_3_1_23	0.6465069282947274
Zone_3_4_23	0.4435327109755053
Zone_3_3_23	0.6953465401282302
Zone_3_2_23	0.5738875919096151
Zone_2A_12_23	1.8053818639042982
Zone_2A_10_23	0.5013558057047915
Zone_2A_1_23	0.9656972719961074
Musq_25_23	2.183472437695478
Musq_27_23	1.1806104958376884
Musq_29_23	0.45373152034173914
Musq_31_23	1.744661461763678
Musq_19_23	3.098538779100333
Musq_01_23	3.216714260698152
Musq_03_23	2.964656116413183
Musq_05_23	2.6168562907485486
Musq_07_23	2.2987361142832103
Musq_09_23	1.5854141071114887
Musq_11_23	2.835773400009607
Musq_13_23	2.5366122450540702
Musq_15_23	2.6389249967051973
Musq_17_23	2.660486732977412
Musq_21_23	2.568599879415291
Musq_23_23	2.589503173637843
