	shannon_entropy
Musq_21_25	1.268635749297024
Musq_19_25	2.053833402733556
Musq_17_25	2.5287777970482574
Musq_15_25	2.363369894651832
Musq_13_25	1.7524725742083518
Musq_11_25	2.325644809664636
Musq_09_25	2.049573911725926
Musq_07_25	1.6631815176631684
Musq_05_25	1.7979062575618763
Musq_03_25	1.152115279372283
Musq_01_25	1.1663162268086456
Musq_23_25	2.546518334693477
Musq_25_25	1.6357374116878332
Zone_3_1_25	0.3655009827938296
Zone_3_3_25	1.2629794031689177
Musq_31_25	2.0735776483118213
Zone_3_2_25	1.4009592956043078
Musq_29_25	1.6874867002011151
Zone_2A_10_25	0.2690528528813551
Zone_2A_1_25	1.7419249031666486
Musq_27_25	1.253494455840989
Zone_2A_12_25	2.2513281678301853
Zone_2B_1_25	1.9583908817105447
Zone_2B_3_25	1.1196878974867117
Zone_2B_2_25	2.388681074377145
