sample-id
2A12B1
2A12B2
2A12B3
2A12S1
2A12S2
2A12S3
2B03B1
2B03B2
2B03B3
2B03S1
2B03S2
2B03S3
301B1
301B2
301B3
301S1
301S2
301S3
M08B1
M08S2
M30B1
M30B2
M30B3
M30S1
M30S2
M32B1
M32B2
M32B3
M32S2
M32S3
M19S1
M19S2
M19S3
M20B1
M20B2
M20B3
