# Constructed from biom file
#OTU ID	Zone_1	Zone_2A	Zone_3	Zone_2B
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Bugulidae;g__Dendrobeania;s__Dendrobeania murrayana (bryozoans)	0.0	2.0	13.0	12.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog)	591.0	186.0	10.0	0.0
k__Metazoa;p__Echinodermata;c__Asteroidea;o__Spinulosida;f__Echinasteridae;g__Henricia;s__Henricia sanguinolenta (starfishes)	0.0	0.0	9.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia longissima (hydrozoans)	61.0	92.0	0.0	7.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Pandeidae;g__Leuckartiara;s__Leuckartiara octona (hydrozoans)	0.0	9.0	0.0	3.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Flustridae;g__Flustra;s__Flustra foliacea (greater hornwrack)	5.0	71.0	184.0	78.0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina littorea (gastropods)	9.0	75.0	9.0	6.0
k__Metazoa;p__Porifera;c__Demospongiae;o__Suberitida;f__Halichondriidae;g__Halichondria;s__Halichondria panicea (sponges)	29.0	73.0	21.0	30.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Corophium;s__Corophium volutator (beach hoppers, scuds and well shrimps)	304.0	103.0	3.0	0.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Polydora;s__Polydora cornuta (polychaetes)	73683.0	184.0	24.0	19.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Membraniporidae;g__Membranipora;s__Membranipora membranacea (bryozoans)	1487.0	3157.0	12258.0	36.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Alitta;s__Alitta virens (sandworms)	461.0	358.0	151.0	55.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	787.0	54.0	0.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia dichotoma (sea thread hydroid)	383.0	196.0	7.0	6.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Hartlaubella;s__Hartlaubella gelatinosa (hydrozoans)	7119.0	248.0	23.0	21.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Hydractiniidae;g__Clava;s__Clava multicornis (club hydroid)	11.0	11.0	0.0	0.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Alcyonidiidae;g__Alcyonidium;s__Alcyonidium polyoum (bryozoans)	128.0	155.0	18.0	21.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Clytiidae;g__Clytia;s__Clytia hemisphaerica (hydrozoans)	3.0	11.0	2.0	5.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt)	25.0	43.0	0.0	18.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden)	27.0	5.0	5.0	3.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Mysida;f__Mysidae;g__Neomysis;s__Neomysis americana (opossum shrimps)	8.0	0.0	0.0	0.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Eunicida;f__Lumbrineridae;g__Ninoe;s__Ninoe nigripes (polychaetes)	11.0	59.0	26.0	8.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Marenzelleria;s__Marenzelleria viridis (polychaetes)	150.0	0.0	0.0	0.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Paracalanidae;g__Paracalanus;s__Paracalanus parvus (copepods)	0.0	644.0	0.0	44.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae;g__Scomber;s__Scomber scombrus (Atlantic mackerel)	0.0	60.0	39.0	6.0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Semibalanus;s__Semibalanus balanoides (northern acorn barnacle)	5.0	66.0	58.0	26.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Laomedea;s__Laomedea flexuosa (hydrozoans)	2.0	3.0	0.0	0.0
k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Phocoenidae;g__Phocoena;s__Phocoena phocoena (harbor porpoise)	100.0	4.0	21.0	0.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Euphausiacea;f__Euphausiidae;g__Meganyctiphanes;s__Meganyctiphanes norvegica (krill)	0.0	5.0	0.0	5.0
