c503c7e283bc3360dc89219eeb15e93a		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.95	Metazoa	kingdom	0.85	Arthropoda	phylum	0.59	Arachnida	class	0.13	Trombidiformes	order	0.05	Myobiidae	family	0.01	Caenolestomyobia	genus	0.01	Caenolestomyobia_faini	species	0.01
86558318119d2be8857b5326ec3f86d1		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Metazoa	kingdom	0.87	Arthropoda	phylum	0.58	Arachnida	class	0.15	Trombidiformes	order	0.08	Myobiidae	family	0.0	Caenolestomyobia	genus	0.0	Caenolestomyobia_faini	species	0.0
2dbbffba3caeb42b20f7a23ab6363918		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.97	Metazoa	kingdom	0.86	Arthropoda	phylum	0.6	Arachnida	class	0.16	Trombidiformes	order	0.09	Myobiidae	family	0.03	Caenolestomyobia	genus	0.03	Caenolestomyobia_faini	species	0.03
832250911a6606c9a1dc272d294d9f5c	-	cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	undef_Eukaryota	kingdom	0.18	Ciliophora	phylum	0.15	Oligohymenophorea	class	0.15	Pleuronematida	order	0.12	Pleuronematidae	family	0.06	Pleuronema	genus	0.06	Pleuronema_elegans	species	0.05
7e8ac3367209c684dbe7a868183e3ff9		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Metazoa	kingdom	0.86	Arthropoda	phylum	0.61	Insecta	class	0.43	Hymenoptera	order	0.11	Apidae	family	0.06	Melissodes	genus	0.04	Melissodes_tepaneca	species	0.01
f588d63ae7b06edb1772a9e971ca74a2		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.99	Viridiplantae	kingdom	0.11	Streptophyta	phylum	0.11	Pinopsida	class	0.05	Araucariales	order	0.05	Araucariaceae	family	0.03	Agathis_seed_plants	genus	0.01	Agathis_australis	species	0.0
abf5b02a37074bcc97333809327eec82		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.95	undef_Eukaryota	kingdom	0.09	Apicomplexa	phylum	0.06	Aconoidasida	class	0.05	Piroplasmida	order	0.05	Babesiidae	family	0.05	Babesia	genus	0.05	Babesia_naoakii	species	0.05
4bc7846c7b6b3040da09ce69ac1481a5	-	cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.98	undef_Eukaryota	kingdom	0.14	Rhodophyta	phylum	0.06	Florideophyceae	class	0.06	Gelidiales	order	0.05	Pterocladiaceae	family	0.03	Pterocladiella	genus	0.03	Pterocladiella_luxurians	species	0.03
bf82757232dbde755865087ba9822c79	-	cellularOrganisms	cellularOrganisms	1.0	Bacteria_bacteria	superkingdom	0.05	undef_Bacteria_bacteria	kingdom	0.05	Proteobacteria	phylum	0.05	Alphaproteobacteria	class	0.05	Hyphomicrobiales	order	0.05	undef_Hyphomicrobiales	family	0.05	Candidatus_Hodgkinia	genus	0.05	Candidatus_Hodgkinia_cicadicola	species	0.05
853ec21368c980a663a5daa184b9c678	-	cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.93	Viridiplantae	kingdom	0.08	Streptophyta	phylum	0.08	Magnoliopsida	class	0.08	Poales	order	0.03	Poaceae	family	0.03	Phyllostachys_monocots	genus	0.03	Phyllostachys_violascens	species	0.03
458e35ab0d9e43248a99a2cd65cdff5a		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.99	Metazoa	kingdom	0.83	Arthropoda	phylum	0.37	Insecta	class	0.25	Coleoptera	order	0.1	Coccinellidae	family	0.04	Epilachna	genus	0.03	Epilachna_orthostriata	species	0.03
f68f3d0948482f89e2edffd6766e9c90	-	cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Metazoa	kingdom	0.82	Mollusca	phylum	0.16	Gastropoda	class	0.14	Stylommatophora	order	0.05	Clausiliidae	family	0.03	Acrotoma	genus	0.03	Acrotoma_likharevi	species	0.03
9e67e20b1022218900e017303ef4e6b2		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.98	Viridiplantae	kingdom	0.16	Streptophyta	phylum	0.16	Cycadopsida	class	0.07	Cycadales	order	0.07	Zamiaceae	family	0.07	Stangeria	genus	0.06	Stangeria_eriopus	species	0.06
5d4d31bace0cbeded981c95065cb0386		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Metazoa	kingdom	0.8	Arthropoda	phylum	0.56	Arachnida	class	0.18	Sarcoptiformes	order	0.03	Nematalycidae	family	0.03	Osperalycus	genus	0.03	Osperalycus_tenerphagus	species	0.03
035d897dbb578c9ea350c40fd1655265		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	0.98	Metazoa	kingdom	0.83	Arthropoda	phylum	0.65	Insecta	class	0.38	Thysanoptera	order	0.02	Phlaeothripidae	family	0.02	Bolothrips	genus	0.02	Bolothrips_bicolor	species	0.02
ed33de5891fbc2836872d2ff44d783fc		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Metazoa	kingdom	0.8	Porifera	phylum	0.05	Demospongiae	class	0.05	Merliida	order	0.04	Hamacanthidae	family	0.04	Hamacantha	genus	0.04	Hamacantha_falcula	species	0.04
3566edba9e2b7d2c27e6f22f2c00794d		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Fungi	kingdom	0.02	Ascomycota	phylum	0.02	Sordariomycetes	class	0.01	Hypocreales	order	0.01	Cordycipitaceae	family	0.01	Akanthomyces	genus	0.01	Akanthomyces_lecanii	species	0.01
259cc02db2b1b57fb81c6c38034d3326		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Fungi	kingdom	0.02	Ascomycota	phylum	0.02	Sordariomycetes	class	0.01	Hypocreales	order	0.01	Cordycipitaceae	family	0.01	Akanthomyces	genus	0.01	Akanthomyces_lecanii	species	0.01
810c2ab6a30d075330521d5e76e6904e		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	undef_Eukaryota	kingdom	0.24	undef_undef_Eukaryota	phylum	0.09	Phaeophyceae	class	0.06	Ectocarpales	order	0.05	Chordariaceae	family	0.05	Vimineoleathesia	genus	0.02	Vimineoleathesia_japonica	species	0.02
4ab61dfa064e04c43d7cded8d41b04bb		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	Metazoa	kingdom	0.8	Arthropoda	phylum	0.58	Insecta	class	0.42	Hymenoptera	order	0.13	Megachilidae	family	0.02	Hoplitis	genus	0.01	Hoplitis_bisulca	species	0.01
10e4015cbfcb1f4cab7d7d980ef9e1c6		cellularOrganisms	cellularOrganisms	1.0	Eukaryota	superkingdom	1.0	undef_Eukaryota	kingdom	0.23	Ciliophora	phylum	0.09	Oligohymenophorea	class	0.06	Philasterida	order	0.04	Uronematidae	family	0.03	Uronemella	genus	0.03	Uronemella_parafilificum	species	0.03
